iter	Logloss
0	0.6447608254
1	0.6045359822
2	0.5657483881
3	0.5275451858
4	0.4964783408
5	0.4676031633
6	0.4418089235
7	0.4184816038
8	0.394953641
9	0.3746668828
10	0.3551648128
11	0.3378972883
12	0.3219990421
13	0.3079680406
14	0.2941117225
15	0.2823230198
16	0.2684027189
17	0.2574182238
18	0.2472126453
19	0.2381272254
20	0.2289174811
21	0.2212535809
22	0.213587377
23	0.2060126515
24	0.1995409557
25	0.1929808282
26	0.1866706997
27	0.1816371942
28	0.1764912543
29	0.1715585535
30	0.1669029632
31	0.1625221054
32	0.158372074
33	0.153879178
34	0.1499121406
35	0.1462944823
36	0.1428748292
37	0.1390222822
38	0.1354103584
39	0.132217977
40	0.129302607
41	0.1267579686
42	0.1240361944
43	0.1213007593
44	0.1189545347
45	0.1168945486
46	0.1151147818
47	0.1129544246
48	0.111008706
49	0.1094514673
50	0.1080395835
51	0.1064571158
52	0.1052354094
53	0.103465105
54	0.1017964722
55	0.0999370674
56	0.09851368372
57	0.09730368775
58	0.09592211092
59	0.09434581113
60	0.09295002826
61	0.09174005707
62	0.09087899443
63	0.09006335519
64	0.08895171772
65	0.08765904315
66	0.08666593378
67	0.08583769241
68	0.08502452404
69	0.08407504837
70	0.08329222419
71	0.08242075784
72	0.08162791388
73	0.08075574776
74	0.07993337706
75	0.07939293477
76	0.07825424764
77	0.07781020078
78	0.07707537614
79	0.07640195203
80	0.07583854725
81	0.07528897075
82	0.0743944614
83	0.07384647023
84	0.07336065986
85	0.07262942079
86	0.07199510351
87	0.07152632924
88	0.07095670081
89	0.07062425242
90	0.06998495622
91	0.06927009682
92	0.06832655374
93	0.06783692248
94	0.06741845763
95	0.06695610517
96	0.06643316963
97	0.06610051688
98	0.06561992695
99	0.06492617223
