@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/03subcl5-600-5-0-bi/03subcl5-600-5-0-bi
@attribute a0 real [-84.0, 483.0]
@attribute a1 real [-282.0, 1481.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
290.0, -57.0, positive
194.0, -80.0, positive
204.0, 89.0, positive
289.0, 4.0, positive
199.0, 38.0, positive
174.0, 33.0, positive
277.0, 78.0, positive
152.0, -97.0, positive
288.0, -84.0, positive
133.0, 34.0, positive
280.0, 6.0, positive
180.0, 61.0, positive
139.0, 332.0, positive
292.0, 238.0, positive
201.0, 354.0, positive
114.0, 308.0, positive
268.0, 287.0, positive
203.0, 251.0, positive
165.0, 238.0, positive
189.0, 224.0, positive
186.0, 290.0, positive
237.0, 287.0, positive
184.0, 340.0, positive
114.0, 213.0, positive
182.0, 269.0, positive
227.0, 342.0, positive
218.0, 598.0, positive
246.0, 651.0, positive
222.0, 598.0, positive
195.0, 695.0, positive
183.0, 604.0, positive
184.0, 600.0, positive
201.0, 510.0, positive
291.0, 667.0, positive
145.0, 647.0, positive
245.0, 690.0, positive
270.0, 588.0, positive
126.0, 551.0, positive
107.0, 671.0, positive
131.0, 510.0, positive
112.0, 673.0, positive
121.0, 948.0, positive
291.0, 867.0, positive
140.0, 846.0, positive
185.0, 849.0, positive
168.0, 811.0, positive
161.0, 977.0, positive
226.0, 922.0, positive
267.0, 898.0, positive
177.0, 825.0, positive
171.0, 886.0, positive
277.0, 816.0, positive
113.0, 870.0, positive
267.0, 850.0, positive
211.0, 881.0, positive
274.0, 931.0, positive
151.0, 978.0, positive
268.0, 858.0, positive
213.0, 1298.0, positive
272.0, 1211.0, positive
290.0, 1202.0, positive
291.0, 1166.0, positive
299.0, 1182.0, positive
250.0, 1182.0, positive
172.0, 1245.0, positive
284.0, 1117.0, positive
125.0, 1263.0, positive
184.0, 1133.0, positive
213.0, 1253.0, positive
266.0, 1177.0, positive
242.0, 1245.0, positive
257.0, 1215.0, positive
179.0, 1137.0, positive
465.0, 691.0, negative
270.0, -194.0, negative
-56.0, 665.0, negative
373.0, -19.0, negative
29.0, 275.0, negative
-42.0, 469.0, negative
-35.0, 504.0, negative
401.0, -154.0, negative
400.0, 151.0, negative
421.0, 354.0, negative
198.0, -193.0, negative
59.0, 830.0, negative
473.0, 252.0, negative
65.0, 925.0, negative
-63.0, 211.0, negative
36.0, 1272.0, negative
209.0, 747.0, negative
201.0, 1340.0, negative
71.0, 1313.0, negative
388.0, 850.0, negative
429.0, 1254.0, negative
262.0, 1481.0, negative
114.0, 776.0, negative
196.0, -205.0, negative
315.0, 451.0, negative
-30.0, 498.0, negative
73.0, 545.0, negative
