@relation  03subcl5-600-5-0-BI-5-5tra
@attribute a0 real[-84.0,483.0]
@attribute a1 real[-282.0,1481.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
237.0, 287.0, positive
226.0, 922.0, positive
131.0, 510.0, positive
171.0, 662.0, positive
187.0, 34.0, positive
119.0, 211.0, positive
155.0, 586.0, positive
266.0, 1177.0, positive
189.0, 224.0, positive
272.0, 1211.0, positive
141.0, 274.0, positive
184.0, 340.0, positive
242.0, 1245.0, positive
201.0, 354.0, positive
268.0, 858.0, positive
165.0, 238.0, positive
140.0, 846.0, positive
108.0, 1133.0, positive
112.0, 673.0, positive
152.0, -97.0, positive
184.0, 1133.0, positive
216.0, 387.0, positive
265.0, 671.0, positive
299.0, 1182.0, positive
280.0, 6.0, positive
148.0, 50.0, positive
291.0, 867.0, positive
178.0, 934.0, positive
133.0, 34.0, positive
245.0, 690.0, positive
292.0, 238.0, positive
211.0, 881.0, positive
202.0, 1159.0, positive
168.0, 811.0, positive
222.0, 598.0, positive
121.0, -38.0, positive
114.0, 308.0, positive
151.0, 978.0, positive
270.0, 588.0, positive
113.0, 870.0, positive
184.0, 600.0, positive
150.0, 603.0, positive
233.0, 1102.0, positive
177.0, 825.0, positive
204.0, 89.0, positive
290.0, -57.0, positive
194.0, -80.0, positive
277.0, 78.0, positive
125.0, 1263.0, positive
213.0, 1298.0, positive
122.0, 763.0, negative
73.0, 652.0, negative
218.0, 760.0, negative
237.0, 1084.0, negative
469.0, 1043.0, negative
308.0, 773.0, negative
-13.0, 63.0, negative
15.0, 901.0, negative
266.0, 486.0, negative
388.0, 205.0, negative
155.0, 1322.0, negative
79.0, 962.0, negative
363.0, 1433.0, negative
60.0, 1295.0, negative
196.0, -205.0, negative
360.0, 156.0, negative
-47.0, -73.0, negative
115.0, 773.0, negative
-66.0, 1405.0, negative
446.0, 353.0, negative
42.0, -233.0, negative
114.0, 776.0, negative
266.0, 1333.0, negative
407.0, 1280.0, negative
270.0, 1095.0, negative
42.0, 644.0, negative
451.0, 525.0, negative
-18.0, 1422.0, negative
152.0, 116.0, negative
326.0, 1213.0, negative
151.0, 113.0, negative
79.0, 100.0, negative
48.0, 1128.0, negative
35.0, 935.0, negative
466.0, 80.0, negative
113.0, 451.0, negative
330.0, 171.0, negative
439.0, 454.0, negative
97.0, 192.0, negative
310.0, 1135.0, negative
414.0, 1157.0, negative
196.0, 1340.0, negative
422.0, 204.0, negative
401.0, 406.0, negative
66.0, 672.0, negative
476.0, 0.0, negative
28.0, 558.0, negative
176.0, -220.0, negative
201.0, 1418.0, negative
215.0, 1367.0, negative
332.0, 557.0, negative
460.0, 955.0, negative
313.0, 36.0, negative
70.0, 804.0, negative
483.0, 1297.0, negative
346.0, -252.0, negative
434.0, -39.0, negative
73.0, 220.0, negative
-6.0, -168.0, negative
-45.0, 328.0, negative
162.0, 1471.0, negative
-37.0, 1358.0, negative
-22.0, 893.0, negative
322.0, 603.0, negative
332.0, 485.0, negative
201.0, 1413.0, negative
22.0, 157.0, negative
4.0, 0.0, negative
119.0, 419.0, negative
422.0, 25.0, negative
388.0, 850.0, negative
24.0, 1289.0, negative
239.0, 1472.0, negative
14.0, 439.0, negative
391.0, 508.0, negative
8.0, 753.0, negative
464.0, 812.0, negative
11.0, 183.0, negative
368.0, 329.0, negative
327.0, 277.0, negative
423.0, 1105.0, negative
413.0, 1313.0, negative
479.0, 771.0, negative
420.0, 907.0, negative
339.0, 246.0, negative
52.0, 439.0, negative
361.0, 795.0, negative
-63.0, 199.0, negative
-51.0, 1014.0, negative
-58.0, 1126.0, negative
39.0, 352.0, negative
367.0, 288.0, negative
447.0, 515.0, negative
465.0, 691.0, negative
57.0, 1224.0, negative
41.0, 472.0, negative
73.0, 545.0, negative
29.0, 275.0, negative
5.0, 178.0, negative
92.0, 925.0, negative
-66.0, 859.0, negative
438.0, 163.0, negative
-3.0, 1256.0, negative
27.0, 629.0, negative
