@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/03subcl5-600-5-50-bi/03subcl5-600-5-50-bi
@attribute a0 real [-84.0, 482.0]
@attribute a1 real [-281.0, 1483.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
223.0, 763.0, positive
290.0, -57.0, positive
289.0, 4.0, positive
333.0, 1300.0, positive
168.0, 789.0, positive
76.0, 1221.0, positive
55.0, 402.0, positive
358.0, 91.0, positive
290.0, 1011.0, positive
224.0, 427.0, positive
237.0, 287.0, positive
297.0, 426.0, positive
153.0, 307.0, positive
288.0, 1016.0, positive
227.0, 342.0, positive
358.0, 1233.0, positive
265.0, 1057.0, positive
222.0, 598.0, positive
150.0, 1342.0, positive
65.0, 196.0, positive
76.0, 361.0, positive
199.0, 1033.0, positive
235.0, 147.0, positive
166.0, 756.0, positive
321.0, 472.0, positive
344.0, 1222.0, positive
177.0, 825.0, positive
309.0, 1207.0, positive
277.0, 816.0, positive
274.0, 931.0, positive
268.0, 858.0, positive
55.0, 768.0, positive
295.0, 714.0, positive
87.0, 310.0, positive
299.0, 1182.0, positive
87.0, 182.0, positive
172.0, 1245.0, positive
353.0, -14.0, positive
213.0, 1253.0, positive
242.0, 1245.0, positive
257.0, 1215.0, positive
138.0, 463.0, positive
-64.0, 1306.0, negative
247.0, 1098.0, negative
83.0, 564.0, negative
-56.0, 779.0, negative
222.0, -273.0, negative
112.0, 159.0, negative
482.0, 1228.0, negative
14.0, 443.0, negative
149.0, 752.0, negative
-12.0, 931.0, negative
-14.0, 990.0, negative
396.0, 68.0, negative
186.0, -217.0, negative
259.0, -179.0, negative
332.0, 1268.0, negative
56.0, -5.0, negative
6.0, 994.0, negative
396.0, 1441.0, negative
478.0, 819.0, negative
-47.0, 1365.0, negative
464.0, 303.0, negative
95.0, -46.0, negative
5.0, -76.0, negative
464.0, 288.0, negative
447.0, 575.0, negative
228.0, 755.0, negative
268.0, 446.0, negative
326.0, 512.0, negative
32.0, 1005.0, negative
362.0, 611.0, negative
141.0, 1363.0, negative
255.0, 1383.0, negative
311.0, -20.0, negative
-24.0, -213.0, negative
335.0, 529.0, negative
65.0, -226.0, negative
-72.0, 450.0, negative
42.0, 1245.0, negative
471.0, 822.0, negative
18.0, 571.0, negative
365.0, -188.0, negative
-66.0, 712.0, negative
-84.0, 720.0, negative
19.0, 1187.0, negative
72.0, 1421.0, negative
266.0, 1044.0, negative
467.0, 1064.0, negative
84.0, 1483.0, negative
423.0, 51.0, negative
81.0, 1345.0, negative
113.0, -143.0, negative
42.0, 159.0, negative
2.0, -37.0, negative
418.0, 454.0, negative
-30.0, 561.0, negative
291.0, -189.0, negative
345.0, -83.0, negative
92.0, 194.0, negative
9.0, 486.0, negative
-27.0, 367.0, negative
11.0, -265.0, negative
344.0, 1461.0, negative
6.0, 836.0, negative
-17.0, 710.0, negative
480.0, 1442.0, negative
329.0, 1228.0, negative
358.0, 583.0, negative
440.0, 315.0, negative
-9.0, 639.0, negative
-13.0, -100.0, negative
435.0, 227.0, negative
369.0, 819.0, negative
23.0, 972.0, negative
156.0, 1011.0, negative
201.0, 1057.0, negative
231.0, -163.0, negative
309.0, 1142.0, negative
1.0, -219.0, negative
69.0, 714.0, negative
447.0, 506.0, negative
93.0, 807.0, negative
-12.0, 370.0, negative
316.0, 645.0, negative
418.0, 207.0, negative
393.0, 743.0, negative
364.0, 207.0, negative
462.0, 1335.0, negative
317.0, 1300.0, negative
198.0, 1017.0, negative
467.0, -226.0, negative
-42.0, -60.0, negative
207.0, 1355.0, negative
73.0, 895.0, negative
305.0, 77.0, negative
17.0, 1196.0, negative
169.0, -199.0, negative
296.0, 411.0, negative
378.0, 178.0, negative
479.0, -206.0, negative
-83.0, 687.0, negative
378.0, 6.0, negative
415.0, 1216.0, negative
221.0, 1052.0, negative
475.0, 1278.0, negative
9.0, -23.0, negative
-39.0, 660.0, negative
311.0, 1085.0, negative
122.0, 752.0, negative
434.0, 198.0, negative
400.0, 48.0, negative
56.0, 812.0, negative
92.0, 1248.0, negative
467.0, 41.0, negative
453.0, 1365.0, negative
52.0, 843.0, negative
423.0, 1374.0, negative
80.0, 417.0, negative
45.0, 167.0, negative
-53.0, 1405.0, negative
-17.0, -205.0, negative
28.0, 1366.0, negative
-42.0, -29.0, negative
140.0, 1327.0, negative
450.0, -27.0, negative
102.0, 464.0, negative
432.0, 103.0, negative
402.0, 614.0, negative
-36.0, -53.0, negative
326.0, 274.0, negative
-68.0, 1298.0, negative
200.0, 1391.0, negative
401.0, 166.0, negative
-4.0, 835.0, negative
-70.0, 1324.0, negative
331.0, 888.0, negative
351.0, 1017.0, negative
238.0, 147.0, negative
1.0, 677.0, negative
60.0, 20.0, negative
317.0, 366.0, negative
438.0, 1266.0, negative
-37.0, 1396.0, negative
401.0, 165.0, negative
349.0, -3.0, negative
-31.0, 352.0, negative
54.0, 797.0, negative
69.0, 258.0, negative
426.0, 596.0, negative
439.0, 713.0, negative
39.0, 318.0, negative
-47.0, -107.0, negative
85.0, 549.0, negative
49.0, 253.0, negative
-75.0, 623.0, negative
17.0, 336.0, negative
390.0, 203.0, negative
-51.0, -93.0, negative
120.0, -268.0, negative
283.0, 179.0, negative
34.0, -5.0, negative
183.0, 1322.0, negative
137.0, 791.0, negative
401.0, 171.0, negative
441.0, 1001.0, negative
56.0, 575.0, negative
241.0, -109.0, negative
-8.0, 433.0, negative
303.0, 816.0, negative
-66.0, 1090.0, negative
32.0, 591.0, negative
389.0, 1013.0, negative
20.0, 9.0, negative
378.0, -39.0, negative
258.0, 1448.0, negative
28.0, 523.0, negative
269.0, 1463.0, negative
426.0, 486.0, negative
32.0, 1031.0, negative
461.0, 549.0, negative
2.0, -219.0, negative
-80.0, -194.0, negative
-32.0, 147.0, negative
29.0, -223.0, negative
361.0, -29.0, negative
73.0, 1301.0, negative
455.0, 801.0, negative
447.0, 890.0, negative
187.0, 34.0, positive
201.0, 733.0, positive
116.0, -95.0, positive
119.0, 211.0, positive
135.0, 398.0, positive
88.0, -36.0, positive
150.0, 603.0, positive
265.0, 671.0, positive
114.0, 805.0, positive
178.0, 934.0, positive
202.0, 1159.0, positive
276.0, 741.0, positive
314.0, 940.0, negative
38.0, 468.0, negative
117.0, 439.0, negative
-23.0, 108.0, negative
178.0, 787.0, negative
142.0, 451.0, negative
9.0, 1229.0, negative
254.0, 1341.0, negative
264.0, 156.0, negative
336.0, 1116.0, negative
35.0, -114.0, negative
312.0, 1012.0, negative
0.0, 256.0, negative
456.0, 713.0, negative
126.0, 1339.0, negative
448.0, 1331.0, negative
21.0, 757.0, negative
111.0, 1448.0, negative
81.0, 195.0, negative
28.0, 508.0, negative
84.0, 779.0, negative
156.0, 702.0, negative
305.0, 450.0, negative
162.0, 1385.0, negative
61.0, 790.0, negative
-37.0, -121.0, negative
315.0, 866.0, negative
30.0, 1421.0, negative
-13.0, 511.0, negative
93.0, 29.0, negative
443.0, 656.0, negative
-7.0, 1231.0, negative
-76.0, 1185.0, negative
-64.0, 614.0, negative
-51.0, 929.0, negative
263.0, 466.0, negative
78.0, -2.0, negative
408.0, 523.0, negative
441.0, 896.0, negative
6.0, 425.0, negative
394.0, 616.0, negative
353.0, 30.0, negative
57.0, 1394.0, negative
215.0, 736.0, negative
49.0, 844.0, negative
46.0, 1461.0, negative
391.0, 370.0, negative
254.0, 418.0, negative
388.0, 220.0, negative
176.0, 1359.0, negative
331.0, 10.0, negative
334.0, 837.0, negative
246.0, 116.0, negative
253.0, 1460.0, negative
420.0, 1249.0, negative
353.0, 1422.0, negative
417.0, 105.0, negative
144.0, 102.0, negative
350.0, 697.0, negative
