@relation 03subcl5-800-7-60-BI-5-3tst
@attribute a0 real[-84.0,483.0]
@attribute a1 real[-282.0,1479.0]
@attribute a2{positive,negative}
@inputs a0, a1
@outputs a2
@data
69.0,1074.0,positive
199.0,38.0,positive
168.0,789.0,positive
55.0,402.0,positive
297.0,426.0,positive
150.0,1342.0,positive
59.0,249.0,positive
270.0,588.0,positive
177.0,825.0,positive
309.0,1207.0,positive
113.0,870.0,positive
268.0,858.0,positive
213.0,1298.0,positive
238.0,1169.0,positive
87.0,310.0,positive
83.0,564.0,positive
172.0,1245.0,positive
223.0,1331.0,positive
266.0,1177.0,positive
242.0,1245.0,positive
457.0,348.0,negative
332.0,485.0,negative
15.0,1212.0,negative
4.0,0.0,negative
326.0,1213.0,negative
41.0,472.0,negative
-51.0,1371.0,negative
151.0,141.0,negative
361.0,699.0,negative
94.0,1439.0,negative
-37.0,701.0,negative
467.0,910.0,negative
460.0,-81.0,negative
445.0,712.0,negative
210.0,1414.0,negative
11.0,183.0,negative
201.0,1026.0,negative
365.0,1443.0,negative
447.0,515.0,negative
74.0,91.0,negative
344.0,-282.0,negative
304.0,39.0,negative
6.0,950.0,negative
332.0,557.0,negative
-71.0,333.0,negative
103.0,-113.0,negative
116.0,1055.0,negative
124.0,773.0,negative
260.0,1049.0,negative
245.0,1372.0,negative
479.0,1310.0,negative
8.0,753.0,negative
306.0,1002.0,negative
387.0,173.0,negative
435.0,325.0,negative
-1.0,-233.0,negative
369.0,607.0,negative
374.0,739.0,negative
74.0,1177.0,negative
73.0,652.0,negative
201.0,1418.0,negative
320.0,715.0,negative
171.0,1424.0,negative
-60.0,1156.0,negative
397.0,462.0,negative
-1.0,1299.0,negative
405.0,-257.0,negative
216.0,1389.0,negative
79.0,100.0,negative
448.0,-10.0,negative
60.0,-185.0,negative
458.0,-216.0,negative
93.0,772.0,negative
-73.0,-73.0,negative
-59.0,-273.0,negative
-36.0,-51.0,negative
204.0,1478.0,negative
338.0,-170.0,negative
204.0,776.0,negative
443.0,1228.0,negative
-40.0,1248.0,negative
6.0,0.0,negative
143.0,-240.0,negative
-81.0,419.0,negative
200.0,1071.0,negative
165.0,159.0,negative
439.0,704.0,negative
124.0,1341.0,negative
5.0,-117.0,negative
382.0,195.0,negative
-46.0,772.0,negative
388.0,770.0,negative
-28.0,445.0,negative
77.0,863.0,negative
443.0,1197.0,negative
467.0,1400.0,negative
-82.0,-254.0,negative
-32.0,1358.0,negative
430.0,1025.0,negative
468.0,34.0,negative
-80.0,-225.0,negative
439.0,661.0,negative
9.0,-32.0,negative
-28.0,-45.0,negative
115.0,1392.0,negative
343.0,1104.0,negative
-35.0,224.0,negative
-29.0,271.0,negative
408.0,1188.0,negative
50.0,27.0,negative
122.0,782.0,negative
53.0,-156.0,negative
-65.0,336.0,negative
403.0,1394.0,negative
264.0,1069.0,negative
39.0,959.0,negative
342.0,602.0,negative
76.0,450.0,negative
339.0,960.0,negative
352.0,914.0,negative
42.0,341.0,negative
436.0,166.0,negative
310.0,780.0,negative
3.0,284.0,negative
136.0,744.0,negative
313.0,-8.0,negative
36.0,-144.0,negative
-67.0,1433.0,negative
-66.0,284.0,negative
30.0,780.0,negative
464.0,626.0,negative
414.0,1182.0,negative
251.0,702.0,negative
459.0,847.0,negative
126.0,126.0,negative
471.0,960.0,negative
1.0,1033.0,negative
323.0,928.0,negative
94.0,-57.0,negative
59.0,400.0,negative
381.0,222.0,negative
-3.0,652.0,negative
323.0,300.0,negative
378.0,317.0,negative
-82.0,-73.0,negative
184.0,1099.0,negative
460.0,1382.0,negative
254.0,749.0,negative
29.0,962.0,negative
32.0,631.0,negative
320.0,1178.0,negative
378.0,1369.0,negative
452.0,-11.0,negative
270.0,1338.0,negative
227.0,-151.0,negative
359.0,771.0,negative
168.0,1405.0,negative
307.0,-264.0,negative
87.0,999.0,negative
-82.0,538.0,negative
