@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/03subcl5-800-7-60-bi/03subcl5-800-7-60-bi
@attribute a0 real [-84.0, 483.0]
@attribute a1 real [-282.0, 1479.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
59.0, -67.0, positive
58.0, 566.0, positive
277.0, 78.0, positive
133.0, 471.0, positive
333.0, 1300.0, positive
258.0, 1.0, positive
354.0, 136.0, positive
55.0, 402.0, positive
114.0, 1011.0, positive
290.0, 1011.0, positive
189.0, 224.0, positive
224.0, 427.0, positive
237.0, 287.0, positive
84.0, -1.0, positive
59.0, 249.0, positive
201.0, 510.0, positive
65.0, 196.0, positive
76.0, 361.0, positive
199.0, 1033.0, positive
166.0, 756.0, positive
121.0, 948.0, positive
321.0, 472.0, positive
185.0, 849.0, positive
335.0, 695.0, positive
315.0, 451.0, positive
309.0, 1207.0, positive
82.0, 749.0, positive
274.0, 931.0, positive
268.0, 858.0, positive
213.0, 1298.0, positive
238.0, 1169.0, positive
87.0, 310.0, positive
83.0, 564.0, positive
223.0, 1331.0, positive
213.0, 1253.0, positive
242.0, 1245.0, positive
257.0, 1215.0, positive
138.0, 463.0, positive
457.0, 348.0, negative
332.0, 485.0, negative
15.0, 1212.0, negative
28.0, 558.0, negative
-63.0, 786.0, negative
-51.0, 1014.0, negative
367.0, 288.0, negative
470.0, 1466.0, negative
305.0, -167.0, negative
-8.0, -3.0, negative
403.0, 1433.0, negative
353.0, 634.0, negative
417.0, 999.0, negative
361.0, 699.0, negative
334.0, 993.0, negative
94.0, 1439.0, negative
438.0, 163.0, negative
467.0, 910.0, negative
70.0, 804.0, negative
445.0, 712.0, negative
325.0, 705.0, negative
-75.0, 773.0, negative
451.0, 948.0, negative
0.0, 1255.0, negative
122.0, 763.0, negative
371.0, -94.0, negative
56.0, 436.0, negative
79.0, -9.0, negative
98.0, 791.0, negative
327.0, 277.0, negative
369.0, -246.0, negative
85.0, -3.0, negative
344.0, -282.0, negative
332.0, 557.0, negative
328.0, 809.0, negative
363.0, 1433.0, negative
348.0, 242.0, negative
483.0, 1297.0, negative
22.0, 576.0, negative
459.0, -42.0, negative
13.0, 609.0, negative
189.0, 1456.0, negative
-71.0, 333.0, negative
-39.0, -22.0, negative
88.0, 112.0, negative
-5.0, 498.0, negative
419.0, 1281.0, negative
235.0, 767.0, negative
103.0, -113.0, negative
-54.0, 365.0, negative
116.0, 1055.0, negative
-20.0, 266.0, negative
162.0, 1471.0, negative
-1.0, -106.0, negative
-6.0, -168.0, negative
369.0, 15.0, negative
-79.0, 797.0, negative
260.0, 1049.0, negative
-39.0, 1420.0, negative
413.0, 1313.0, negative
245.0, 1372.0, negative
239.0, 1472.0, negative
470.0, 334.0, negative
306.0, 1002.0, negative
401.0, 406.0, negative
387.0, 173.0, negative
194.0, 1350.0, negative
79.0, 962.0, negative
388.0, -182.0, negative
-28.0, 51.0, negative
441.0, 242.0, negative
369.0, 607.0, negative
171.0, 1068.0, negative
431.0, 500.0, negative
315.0, 567.0, negative
440.0, 1040.0, negative
-46.0, 160.0, negative
374.0, 739.0, negative
343.0, 467.0, negative
-64.0, 196.0, negative
320.0, 1370.0, negative
455.0, 269.0, negative
17.0, 371.0, negative
38.0, -59.0, negative
214.0, 1468.0, negative
356.0, 1280.0, negative
73.0, 662.0, negative
322.0, 603.0, negative
136.0, 1407.0, negative
-84.0, 1479.0, negative
330.0, 171.0, negative
49.0, 769.0, negative
-32.0, 596.0, negative
333.0, 1433.0, negative
-66.0, 859.0, negative
-13.0, 624.0, negative
171.0, 1424.0, negative
294.0, 788.0, negative
29.0, 928.0, negative
463.0, 339.0, negative
391.0, 508.0, negative
15.0, 901.0, negative
460.0, 569.0, negative
317.0, 1358.0, negative
93.0, 1420.0, negative
-59.0, -280.0, negative
361.0, 481.0, negative
8.0, 52.0, negative
417.0, 9.0, negative
-1.0, 1299.0, negative
218.0, 760.0, negative
143.0, 1026.0, negative
405.0, -257.0, negative
248.0, -217.0, negative
375.0, 788.0, negative
-40.0, 552.0, negative
22.0, 157.0, negative
389.0, 632.0, negative
-4.0, 176.0, negative
445.0, -143.0, negative
79.0, 100.0, negative
439.0, 231.0, negative
60.0, -185.0, negative
458.0, -216.0, negative
93.0, 772.0, negative
-73.0, -73.0, negative
446.0, 353.0, negative
433.0, 1380.0, negative
329.0, 516.0, negative
440.0, -221.0, negative
338.0, -170.0, negative
303.0, 1231.0, negative
32.0, 1318.0, negative
475.0, -131.0, negative
305.0, 798.0, negative
5.0, 602.0, negative
433.0, -184.0, negative
443.0, 1228.0, negative
301.0, 1353.0, negative
6.0, 0.0, negative
143.0, -240.0, negative
165.0, 159.0, negative
53.0, -14.0, negative
243.0, 166.0, negative
-73.0, 133.0, negative
124.0, 1341.0, negative
65.0, -137.0, negative
59.0, 1065.0, negative
429.0, 150.0, negative
382.0, 195.0, negative
126.0, 771.0, negative
236.0, 741.0, negative
125.0, 102.0, negative
-46.0, 772.0, negative
-28.0, 445.0, negative
455.0, 272.0, negative
430.0, 1025.0, negative
293.0, 1433.0, negative
114.0, -202.0, negative
71.0, -178.0, negative
-23.0, 353.0, negative
-80.0, -225.0, negative
282.0, 1010.0, negative
439.0, 1351.0, negative
387.0, 534.0, negative
-26.0, 770.0, negative
146.0, 745.0, negative
43.0, 0.0, negative
4.0, -241.0, negative
336.0, 366.0, negative
365.0, 378.0, negative
456.0, 408.0, negative
387.0, 1352.0, negative
2.0, 768.0, negative
476.0, 155.0, negative
13.0, 729.0, negative
-28.0, -45.0, negative
145.0, 490.0, negative
115.0, 1392.0, negative
-9.0, 922.0, negative
269.0, -227.0, negative
357.0, 40.0, negative
51.0, 81.0, negative
122.0, 782.0, negative
477.0, 763.0, negative
90.0, 1305.0, negative
-65.0, 336.0, negative
-2.0, 1110.0, negative
425.0, 848.0, negative
403.0, 1394.0, negative
264.0, 1069.0, negative
22.0, 428.0, negative
39.0, 959.0, negative
440.0, -132.0, negative
193.0, 1371.0, negative
327.0, 1068.0, negative
342.0, 602.0, negative
309.0, 1352.0, negative
292.0, 1366.0, negative
-23.0, 271.0, negative
-42.0, 675.0, negative
163.0, -128.0, negative
-79.0, 361.0, negative
339.0, 960.0, negative
438.0, 1187.0, negative
42.0, 341.0, negative
305.0, 1111.0, negative
374.0, -19.0, negative
346.0, 1153.0, negative
31.0, 556.0, negative
436.0, 166.0, negative
438.0, 1454.0, negative
-84.0, 1369.0, negative
3.0, 284.0, negative
-18.0, 1355.0, negative
222.0, 470.0, negative
313.0, -8.0, negative
36.0, -144.0, negative
311.0, 175.0, negative
-67.0, 1433.0, negative
-58.0, 369.0, negative
40.0, 1062.0, negative
-66.0, 284.0, negative
467.0, 1128.0, negative
230.0, 434.0, negative
402.0, -102.0, negative
477.0, 1388.0, negative
24.0, 1136.0, negative
-35.0, 1156.0, negative
351.0, 968.0, negative
-27.0, 1383.0, negative
414.0, 1182.0, negative
164.0, 1060.0, negative
40.0, 936.0, negative
143.0, 1379.0, negative
55.0, -113.0, negative
-20.0, 412.0, negative
454.0, 537.0, negative
268.0, 473.0, negative
126.0, 126.0, negative
94.0, -57.0, negative
-28.0, 129.0, negative
291.0, 793.0, negative
52.0, 1122.0, negative
381.0, 222.0, negative
-3.0, 652.0, negative
72.0, 647.0, negative
323.0, 300.0, negative
-35.0, -76.0, negative
337.0, 291.0, negative
133.0, 734.0, negative
159.0, -234.0, negative
-18.0, -65.0, negative
73.0, -233.0, negative
-67.0, -187.0, negative
369.0, 605.0, negative
420.0, 1447.0, negative
405.0, 1478.0, negative
475.0, -97.0, negative
15.0, 414.0, negative
375.0, 269.0, negative
-36.0, 622.0, negative
460.0, 1382.0, negative
254.0, 749.0, negative
29.0, 962.0, negative
-8.0, 36.0, negative
320.0, 1178.0, negative
452.0, -11.0, negative
440.0, 1204.0, negative
356.0, 1057.0, negative
270.0, 1338.0, negative
337.0, 1217.0, negative
401.0, 1156.0, negative
460.0, 262.0, negative
292.0, 760.0, negative
227.0, -151.0, negative
239.0, -236.0, negative
329.0, 342.0, negative
472.0, 813.0, negative
348.0, 307.0, negative
359.0, 771.0, negative
338.0, 649.0, negative
319.0, 408.0, negative
266.0, 1475.0, negative
87.0, 999.0, negative
302.0, -112.0, negative
470.0, 966.0, negative
341.0, 839.0, negative
116.0, -95.0, positive
116.0, 421.0, positive
135.0, 398.0, positive
215.0, 149.0, positive
88.0, -36.0, positive
150.0, 603.0, positive
288.0, 868.0, positive
202.0, 1159.0, positive
341.0, 1039.0, positive
276.0, 741.0, positive
325.0, 1332.0, negative
360.0, 156.0, negative
99.0, -93.0, negative
402.0, 740.0, negative
342.0, 314.0, negative
-62.0, 1022.0, negative
407.0, 1280.0, negative
403.0, 1404.0, negative
57.0, -219.0, negative
152.0, 116.0, negative
73.0, 220.0, negative
472.0, 403.0, negative
95.0, 232.0, negative
266.0, 1333.0, negative
331.0, 472.0, negative
261.0, 747.0, negative
399.0, 338.0, negative
436.0, 77.0, negative
311.0, -135.0, negative
431.0, -141.0, negative
468.0, 1329.0, negative
70.0, 616.0, negative
267.0, -141.0, negative
245.0, 1411.0, negative
220.0, 1009.0, negative
204.0, 1062.0, negative
404.0, -179.0, negative
16.0, 553.0, negative
455.0, 793.0, negative
121.0, 721.0, negative
13.0, 552.0, negative
-66.0, 246.0, negative
282.0, 1020.0, negative
275.0, 415.0, negative
64.0, 88.0, negative
330.0, 447.0, negative
-49.0, 69.0, negative
215.0, 1430.0, negative
338.0, 391.0, negative
2.0, 1057.0, negative
410.0, 1276.0, negative
-56.0, -119.0, negative
-44.0, 1244.0, negative
-19.0, 823.0, negative
454.0, -49.0, negative
365.0, 1295.0, negative
240.0, 1093.0, negative
-54.0, 279.0, negative
162.0, 1365.0, negative
73.0, 248.0, negative
447.0, 654.0, negative
387.0, 892.0, negative
-7.0, -212.0, negative
316.0, 804.0, negative
202.0, -172.0, negative
388.0, -64.0, negative
331.0, 1257.0, negative
178.0, 412.0, negative
79.0, 822.0, negative
144.0, 1466.0, negative
68.0, 1313.0, negative
145.0, -253.0, negative
328.0, 905.0, negative
152.0, -178.0, negative
