@relation  03subcl5-800-7-70-BI-5-5tra
@attribute a0 real[-84.0,482.0]
@attribute a1 real[-282.0,1483.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
191.0, 423.0, positive
178.0, 934.0, positive
179.0, 494.0, positive
87.0, 182.0, positive
187.0, 34.0, positive
265.0, 1057.0, positive
290.0, 1202.0, positive
344.0, 140.0, positive
213.0, 1298.0, positive
76.0, 361.0, positive
55.0, 768.0, positive
331.0, 221.0, positive
69.0, 1074.0, positive
150.0, 603.0, positive
152.0, -97.0, positive
121.0, -38.0, positive
276.0, 741.0, positive
79.0, 566.0, positive
113.0, 870.0, positive
144.0, 1349.0, positive
16.0, 121.0, negative
35.0, -114.0, negative
385.0, -93.0, negative
334.0, 837.0, negative
199.0, 1468.0, negative
-12.0, 250.0, negative
130.0, 742.0, negative
13.0, 757.0, negative
324.0, 916.0, negative
262.0, 788.0, negative
34.0, 989.0, negative
61.0, 790.0, negative
325.0, 533.0, negative
7.0, -8.0, negative
92.0, 1248.0, negative
-56.0, 1279.0, negative
-13.0, -100.0, negative
451.0, 697.0, negative
58.0, 328.0, negative
-21.0, 984.0, negative
293.0, 183.0, negative
18.0, 571.0, negative
17.0, 1196.0, negative
479.0, 1383.0, negative
350.0, 1006.0, negative
327.0, 1294.0, negative
-17.0, -205.0, negative
337.0, 23.0, negative
95.0, 17.0, negative
73.0, 895.0, negative
-47.0, 338.0, negative
205.0, 1315.0, negative
346.0, 362.0, negative
369.0, 819.0, negative
403.0, -12.0, negative
-49.0, 1142.0, negative
-46.0, 415.0, negative
-54.0, 925.0, negative
423.0, 948.0, negative
-32.0, -277.0, negative
162.0, 1385.0, negative
454.0, 854.0, negative
463.0, -206.0, negative
323.0, 112.0, negative
106.0, 1096.0, negative
-32.0, 719.0, negative
461.0, 1245.0, negative
94.0, 572.0, negative
34.0, 1033.0, negative
145.0, 1460.0, negative
3.0, 285.0, negative
425.0, 1346.0, negative
91.0, -163.0, negative
62.0, 1333.0, negative
12.0, -146.0, negative
90.0, -46.0, negative
450.0, 347.0, negative
254.0, -247.0, negative
432.0, 103.0, negative
144.0, 102.0, negative
284.0, -227.0, negative
12.0, 182.0, negative
-66.0, 1090.0, negative
467.0, 1434.0, negative
361.0, -29.0, negative
141.0, 1363.0, negative
396.0, 226.0, negative
478.0, 1087.0, negative
-4.0, 1319.0, negative
444.0, 47.0, negative
358.0, 583.0, negative
311.0, 1085.0, negative
-46.0, 491.0, negative
448.0, 1331.0, negative
-9.0, 1456.0, negative
139.0, 468.0, negative
-3.0, 1369.0, negative
435.0, 227.0, negative
375.0, -243.0, negative
393.0, 429.0, negative
-72.0, 450.0, negative
-13.0, 778.0, negative
254.0, 1033.0, negative
377.0, 615.0, negative
311.0, -76.0, negative
-12.0, 370.0, negative
395.0, 447.0, negative
316.0, 1410.0, negative
-32.0, 147.0, negative
115.0, 426.0, negative
360.0, 1147.0, negative
232.0, 1348.0, negative
248.0, 725.0, negative
305.0, 275.0, negative
-74.0, 511.0, negative
-66.0, 851.0, negative
113.0, -260.0, negative
-6.0, 522.0, negative
401.0, 166.0, negative
327.0, 1102.0, negative
481.0, 431.0, negative
-37.0, 1396.0, negative
344.0, 1461.0, negative
-76.0, 1185.0, negative
-13.0, 637.0, negative
251.0, 763.0, negative
384.0, 998.0, negative
-53.0, 80.0, negative
475.0, 1278.0, negative
391.0, 1411.0, negative
185.0, 1085.0, negative
452.0, 1182.0, negative
482.0, 935.0, negative
139.0, 1046.0, negative
-52.0, -108.0, negative
268.0, 482.0, negative
77.0, 210.0, negative
-64.0, 614.0, negative
426.0, 596.0, negative
443.0, 656.0, negative
52.0, 843.0, negative
305.0, 450.0, negative
365.0, -188.0, negative
276.0, 1367.0, negative
41.0, 719.0, negative
-40.0, 212.0, negative
134.0, 1010.0, negative
97.0, 1431.0, negative
209.0, -174.0, negative
395.0, 888.0, negative
474.0, -282.0, negative
-68.0, 1352.0, negative
393.0, 743.0, negative
84.0, 779.0, negative
461.0, 549.0, negative
2.0, -219.0, negative
424.0, 1029.0, negative
181.0, -110.0, negative
9.0, 1229.0, negative
156.0, 702.0, negative
