@relation  04clover5z-600-5-0-BI-5-5tra
@attribute a0 real[-573.0,535.0]
@attribute a1 real[-413.0,412.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
-72.0, 223.0, positive
-89.0, -295.0, positive
-249.0, -9.0, positive
52.0, 55.0, positive
258.0, -213.0, positive
-18.0, 135.0, positive
133.0, 114.0, positive
91.0, -29.0, positive
270.0, 190.0, positive
-128.0, -350.0, positive
215.0, 44.0, negative
45.0, -318.0, negative
410.0, 319.0, negative
-567.0, 340.0, negative
412.0, 143.0, negative
388.0, -323.0, negative
-208.0, 304.0, negative
-76.0, 35.0, negative
54.0, 172.0, negative
279.0, 310.0, negative
490.0, 166.0, negative
328.0, -375.0, negative
114.0, -347.0, negative
-90.0, 408.0, negative
-419.0, -47.0, negative
-364.0, -207.0, negative
-127.0, -182.0, negative
261.0, -62.0, negative
310.0, -126.0, negative
-199.0, -62.0, negative
484.0, 368.0, negative
-529.0, 197.0, negative
526.0, 80.0, negative
-401.0, 344.0, negative
-162.0, 249.0, negative
466.0, -154.0, negative
-448.0, -156.0, negative
-41.0, -372.0, negative
-573.0, 59.0, negative
59.0, 408.0, negative
51.0, -178.0, negative
376.0, 65.0, negative
196.0, -387.0, negative
210.0, 355.0, negative
-420.0, -359.0, negative
510.0, -124.0, negative
442.0, -244.0, negative
349.0, -184.0, negative
186.0, -84.0, negative
-313.0, 247.0, negative
-252.0, -366.0, negative
-254.0, -234.0, negative
-356.0, 143.0, negative
139.0, 46.0, negative
-283.0, 406.0, negative
360.0, 166.0, negative
8.0, -250.0, negative
498.0, -328.0, negative
-499.0, -315.0, negative
-451.0, 137.0, negative
-74.0, 229.0, positive
-98.0, -279.0, positive
-222.0, 7.0, positive
60.0, 60.0, positive
275.0, -214.0, positive
-30.0, 111.0, positive
117.0, 116.0, positive
92.0, -54.0, positive
251.0, 183.0, positive
-110.0, -223.0, positive
216.0, 54.0, negative
36.0, -300.0, negative
398.0, 334.0, negative
-538.0, 377.0, negative
405.0, 186.0, negative
387.0, -292.0, negative
-191.0, 291.0, negative
-73.0, -47.0, negative
53.0, 153.0, negative
286.0, 318.0, negative
473.0, 162.0, negative
328.0, -340.0, negative
155.0, -328.0, negative
-101.0, 411.0, negative
-404.0, -73.0, negative
-342.0, -208.0, negative
-112.0, -214.0, negative
239.0, -59.0, negative
309.0, -146.0, negative
-186.0, -69.0, negative
461.0, 385.0, negative
-508.0, 194.0, negative
508.0, 80.0, negative
-410.0, 327.0, negative
-181.0, 213.0, negative
480.0, -154.0, negative
-496.0, -127.0, negative
-24.0, -377.0, negative
-554.0, 81.0, negative
78.0, 399.0, negative
71.0, -176.0, negative
371.0, 32.0, negative
198.0, -344.0, negative
219.0, 402.0, negative
-413.0, -351.0, negative
522.0, -137.0, negative
425.0, -211.0, negative
348.0, -199.0, negative
208.0, -69.0, negative
-295.0, 292.0, negative
-295.0, -383.0, negative
-262.0, -238.0, negative
-377.0, 141.0, negative
134.0, 44.0, negative
-246.0, 370.0, negative
297.0, 91.0, negative
5.0, -248.0, negative
489.0, -321.0, negative
-521.0, -310.0, negative
-327.0, -59.0, negative
-79.0, 259.0, positive
-99.0, -321.0, positive
-325.0, -28.0, positive
71.0, 76.0, positive
303.0, -208.0, positive
-40.0, 162.0, positive
152.0, 130.0, positive
61.0, -63.0, positive
298.0, 219.0, positive
-49.0, -221.0, positive
209.0, 59.0, negative
67.0, -361.0, negative
428.0, 306.0, negative
-508.0, 361.0, negative
377.0, 162.0, negative
406.0, -276.0, negative
-239.0, 282.0, negative
-87.0, -39.0, negative
82.0, 137.0, negative
348.0, 298.0, negative
503.0, 145.0, negative
313.0, -396.0, negative
111.0, -256.0, negative
-111.0, 390.0, negative
-441.0, -79.0, negative
-386.0, -183.0, negative
-131.0, -249.0, negative
240.0, -53.0, negative
330.0, -106.0, negative
-159.0, -88.0, negative
509.0, 405.0, negative
-537.0, 121.0, negative
478.0, 37.0, negative
-389.0, 382.0, negative
-128.0, 199.0, negative
448.0, -172.0, negative
-498.0, -205.0, negative
-11.0, -378.0, negative
-548.0, 0.0, negative
34.0, 393.0, negative
22.0, -189.0, negative
321.0, 65.0, negative
173.0, -294.0, negative
189.0, 266.0, negative
-411.0, -330.0, negative
505.0, -201.0, negative
416.0, -185.0, negative
375.0, -90.0, negative
129.0, -43.0, negative
-360.0, 193.0, negative
-214.0, -324.0, negative
-265.0, -177.0, negative
-383.0, 127.0, negative
132.0, 18.0, negative
-246.0, 69.0, negative
281.0, 15.0, negative
5.0, -155.0, negative
462.0, -358.0, negative
-458.0, -299.0, negative
-333.0, -85.0, negative
-45.0, 202.0, positive
-70.0, -273.0, positive
-158.0, -13.0, positive
27.0, 24.0, positive
250.0, -157.0, positive
-27.0, 180.0, positive
168.0, 114.0, positive
112.0, -92.0, positive
166.0, 164.0, positive
-32.0, -226.0, positive
189.0, 35.0, negative
2.0, -279.0, negative
399.0, 260.0, negative
-482.0, 355.0, negative
368.0, 132.0, negative
432.0, -347.0, negative
-235.0, 347.0, negative
-162.0, 40.0, negative
71.0, 119.0, negative
225.0, 342.0, negative
504.0, 133.0, negative
297.0, -363.0, negative
102.0, -263.0, negative
-37.0, 401.0, negative
-468.0, -47.0, negative
-398.0, -197.0, negative
-156.0, -139.0, negative
297.0, -55.0, negative
330.0, -94.0, negative
-170.0, -109.0, negative
526.0, 332.0, negative
-491.0, 136.0, negative
460.0, 52.0, negative
-360.0, 322.0, negative
-151.0, 162.0, negative
455.0, -117.0, negative
-463.0, -256.0, negative
-1.0, -374.0, negative
-481.0, 47.0, negative
70.0, 361.0, negative
79.0, -160.0, negative
406.0, 30.0, negative
203.0, -264.0, negative
197.0, 250.0, negative
-401.0, -376.0, negative
473.0, -69.0, negative
498.0, -276.0, negative
311.0, -273.0, negative
128.0, -35.0, negative
-347.0, 169.0, negative
-206.0, -334.0, negative
-280.0, -189.0, negative
-395.0, 163.0, negative
120.0, 33.0, negative
-29.0, 351.0, negative
175.0, 225.0, negative
125.0, -233.0, negative
522.0, -281.0, negative
-512.0, -380.0, negative
-185.0, 82.0, negative
-68.0, 157.0, positive
-96.0, -255.0, positive
-334.0, 4.0, positive
25.0, -15.0, positive
222.0, -141.0, positive
-34.0, 99.0, positive
151.0, 137.0, positive
5.0, -63.0, positive
-109.0, 267.0, positive
-77.0, -153.0, positive
220.0, 1.0, negative
48.0, -222.0, negative
420.0, 258.0, negative
-525.0, 260.0, negative
435.0, 99.0, negative
401.0, -391.0, negative
-148.0, 289.0, negative
-127.0, 126.0, negative
37.0, 237.0, negative
300.0, 390.0, negative
507.0, 207.0, negative
315.0, -325.0, negative
186.0, -352.0, negative
-142.0, 378.0, negative
-394.0, -86.0, negative
-417.0, -198.0, negative
-151.0, -255.0, negative
293.0, -76.0, negative
337.0, -149.0, negative
-222.0, -119.0, negative
535.0, 326.0, negative
-531.0, 87.0, negative
490.0, -14.0, negative
-377.0, 286.0, negative
-189.0, 160.0, negative
441.0, -128.0, negative
-435.0, -271.0, negative
-76.0, -363.0, negative
-455.0, 70.0, negative
104.0, 412.0, negative
62.0, -220.0, negative
351.0, 15.0, negative
185.0, -262.0, negative
128.0, 336.0, negative
-410.0, -390.0, negative
519.0, -224.0, negative
457.0, -335.0, negative
368.0, -64.0, negative
156.0, -182.0, negative
-338.0, 157.0, negative
-241.0, -282.0, negative
-217.0, -190.0, negative
-349.0, 68.0, negative
93.0, 17.0, negative
-55.0, 315.0, negative
433.0, -46.0, negative
32.0, -96.0, negative
119.0, 232.0, negative
-540.0, -286.0, negative
-182.0, 81.0, negative
-28.0, 203.0, positive
-118.0, -308.0, positive
-342.0, -12.0, positive
32.0, -29.0, positive
212.0, -154.0, positive
-69.0, 131.0, positive
148.0, 152.0, positive
148.0, -127.0, positive
-86.0, 21.0, positive
-73.0, -144.0, positive
194.0, 81.0, negative
25.0, -392.0, negative
462.0, 327.0, negative
-486.0, 384.0, negative
427.0, 201.0, negative
400.0, -253.0, negative
-149.0, 280.0, negative
-119.0, -72.0, negative
50.0, 255.0, negative
265.0, 402.0, negative
491.0, 231.0, negative
285.0, -358.0, negative
170.0, -316.0, negative
-164.0, 402.0, negative
-418.0, -120.0, negative
-391.0, -256.0, negative
-202.0, -175.0, negative
218.0, -59.0, negative
344.0, -140.0, negative
-194.0, -144.0, negative
522.0, 286.0, negative
-456.0, 170.0, negative
475.0, -33.0, negative
-444.0, 385.0, negative
-115.0, 185.0, negative
449.0, -191.0, negative
-514.0, -109.0, negative
-28.0, -308.0, negative
-467.0, 90.0, negative
14.0, 369.0, negative
36.0, -126.0, negative
414.0, 30.0, negative
234.0, -237.0, negative
218.0, 236.0, negative
-455.0, -358.0, negative
502.0, -243.0, negative
488.0, -300.0, negative
