@relation 04clover5z-600-5-60-BI-5-2tst
@attribute a0 real[-572.0,535.0]
@attribute a1 real[-413.0,411.0]
@attribute a2{positive,negative}
@inputs a0, a1
@outputs a2
@data
31.0,187.0,positive
117.0,116.0,positive
116.0,136.0,positive
158.0,192.0,positive
33.0,129.0,positive
-18.0,135.0,positive
-68.0,157.0,positive
234.0,-237.0,positive
27.0,76.0,positive
117.0,-7.0,positive
-325.0,-28.0,positive
-86.0,21.0,positive
105.0,24.0,positive
-127.0,-196.0,positive
-226.0,75.0,positive
234.0,249.0,positive
-147.0,264.0,positive
-109.0,-306.0,positive
-102.0,110.0,positive
-14.0,13.0,positive
-11.0,-378.0,negative
425.0,-211.0,negative
-253.0,-285.0,negative
-538.0,377.0,negative
-241.0,-282.0,negative
412.0,242.0,negative
196.0,-387.0,negative
134.0,44.0,negative
240.0,-19.0,negative
379.0,376.0,negative
51.0,78.0,negative
330.0,-106.0,negative
-181.0,213.0,negative
99.0,210.0,negative
522.0,-281.0,negative
129.0,-43.0,negative
70.0,361.0,negative
510.0,-124.0,negative
348.0,-199.0,negative
-222.0,-171.0,negative
5.0,-248.0,negative
111.0,343.0,negative
-360.0,322.0,negative
-180.0,284.0,negative
118.0,39.0,negative
348.0,-366.0,negative
453.0,-167.0,negative
451.0,206.0,negative
447.0,149.0,negative
-533.0,-188.0,negative
-333.0,-308.0,negative
420.0,258.0,negative
490.0,166.0,negative
243.0,390.0,negative
148.0,-246.0,negative
-377.0,141.0,negative
210.0,355.0,negative
297.0,-55.0,negative
462.0,327.0,negative
18.0,75.0,negative
-404.0,-73.0,negative
382.0,-401.0,negative
76.0,-382.0,negative
-14.0,381.0,negative
-496.0,-127.0,negative
-486.0,-22.0,negative
-111.0,390.0,negative
351.0,15.0,negative
93.0,17.0,negative
226.0,-214.0,negative
467.0,-286.0,negative
486.0,-382.0,negative
332.0,107.0,negative
183.0,295.0,negative
-102.0,-389.0,negative
-291.0,-272.0,negative
167.0,-45.0,negative
435.0,-367.0,negative
70.0,380.0,negative
-8.0,216.0,negative
-16.0,220.0,negative
-303.0,-287.0,negative
377.0,22.0,negative
-281.0,-345.0,negative
-398.0,-335.0,negative
430.0,-210.0,negative
104.0,-270.0,negative
-384.0,349.0,negative
-163.0,-233.0,negative
-159.0,258.0,negative
-463.0,-72.0,negative
479.0,-153.0,negative
-454.0,-115.0,negative
448.0,28.0,negative
142.0,192.0,negative
143.0,197.0,negative
-322.0,-280.0,negative
-500.0,-23.0,negative
434.0,-10.0,negative
305.0,-103.0,negative
101.0,253.0,negative
-381.0,60.0,negative
-123.0,-51.0,negative
452.0,-128.0,negative
288.0,-261.0,negative
240.0,224.0,negative
30.0,-260.0,negative
251.0,-97.0,negative
-448.0,-407.0,negative
-494.0,301.0,negative
496.0,-247.0,negative
-363.0,-80.0,negative
-331.0,168.0,negative
260.0,1.0,negative
-216.0,-361.0,negative
95.0,322.0,negative
-453.0,-153.0,negative
57.0,-3.0,negative
167.0,-301.0,negative
-465.0,-240.0,negative
