@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/04clover5z-600-5-70-bi/04clover5z-600-5-70-bi
@attribute a0 real [-571.0, 533.0]
@attribute a1 real [-413.0, 413.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
363.0, -242.0, positive
-50.0, -311.0, positive
-186.0, 82.0, positive
175.0, 87.0, positive
335.0, 170.0, positive
244.0, 250.0, positive
117.0, 116.0, positive
116.0, 136.0, positive
60.0, 60.0, positive
158.0, 192.0, positive
33.0, 129.0, positive
-50.0, 166.0, positive
-173.0, -240.0, positive
-72.0, 223.0, positive
-109.0, 267.0, positive
234.0, -237.0, positive
27.0, 76.0, positive
314.0, 193.0, positive
117.0, -7.0, positive
101.0, 186.0, positive
-86.0, 21.0, positive
223.0, 96.0, positive
-305.0, -74.0, positive
-391.0, 53.0, positive
105.0, 24.0, positive
259.0, -133.0, positive
-127.0, -196.0, positive
-32.0, -226.0, positive
234.0, 249.0, positive
-147.0, 264.0, positive
153.0, 195.0, positive
-135.0, -239.0, positive
160.0, 9.0, positive
-102.0, 110.0, positive
8.0, -250.0, positive
154.0, 195.0, positive
61.0, -63.0, positive
148.0, -127.0, positive
-299.0, 79.0, positive
-14.0, 13.0, positive
-167.0, 403.0, positive
98.0, -53.0, positive
222.0, -141.0, positive
-120.0, 94.0, positive
303.0, -208.0, positive
-266.0, 384.0, negative
114.0, -280.0, negative
-33.0, -288.0, negative
-422.0, 333.0, negative
-533.0, -388.0, negative
-403.0, -298.0, negative
-322.0, -183.0, negative
-257.0, -341.0, negative
-466.0, -17.0, negative
-166.0, 260.0, negative
-104.0, -121.0, negative
266.0, -320.0, negative
-389.0, -53.0, negative
-462.0, -108.0, negative
-501.0, 246.0, negative
-385.0, -405.0, negative
263.0, 403.0, negative
496.0, 311.0, negative
428.0, 66.0, negative
-420.0, -36.0, negative
348.0, 141.0, negative
-18.0, 406.0, negative
-140.0, -284.0, negative
-249.0, -189.0, negative
452.0, -133.0, negative
28.0, -139.0, negative
-420.0, 97.0, negative
441.0, -174.0, negative
174.0, -220.0, negative
312.0, 102.0, negative
34.0, 274.0, negative
-363.0, 174.0, negative
-14.0, 214.0, negative
43.0, -357.0, negative
-294.0, -127.0, negative
-405.0, -383.0, negative
73.0, 372.0, negative
-226.0, 97.0, negative
-450.0, 291.0, negative
76.0, -164.0, negative
343.0, -324.0, negative
302.0, -183.0, negative
13.0, -249.0, negative
327.0, 190.0, negative
315.0, 380.0, negative
-21.0, 195.0, negative
-264.0, 138.0, negative
99.0, -193.0, negative
150.0, -2.0, negative
-226.0, -267.0, negative
496.0, -377.0, negative
-362.0, -27.0, negative
23.0, 212.0, negative
420.0, -4.0, negative
445.0, 358.0, negative
420.0, 337.0, negative
198.0, 227.0, negative
-422.0, 295.0, negative
199.0, -287.0, negative
-557.0, 273.0, negative
-169.0, 71.0, negative
-532.0, -97.0, negative
357.0, 391.0, negative
-189.0, 256.0, negative
476.0, 358.0, negative
-306.0, 113.0, negative
365.0, 86.0, negative
-442.0, -377.0, negative
-353.0, 358.0, negative
392.0, -343.0, negative
-134.0, 340.0, negative
-376.0, 188.0, negative
285.0, 77.0, negative
137.0, 350.0, negative
-208.0, -63.0, negative
-174.0, 202.0, negative
-502.0, 151.0, negative
377.0, 6.0, negative
431.0, 163.0, negative
285.0, 401.0, negative
-478.0, -306.0, negative
-541.0, 327.0, negative
-254.0, -282.0, negative
-17.0, 370.0, negative
393.0, -382.0, negative
-171.0, 201.0, negative
-384.0, -349.0, negative
388.0, -36.0, negative
-416.0, 110.0, negative
-546.0, 339.0, negative
-132.0, -317.0, negative
361.0, 7.0, negative
271.0, 1.0, negative
-437.0, 298.0, negative
-48.0, -48.0, negative
-295.0, 372.0, negative
46.0, -128.0, negative
-418.0, 295.0, negative
446.0, 312.0, negative
-481.0, 373.0, negative
374.0, -203.0, negative
-301.0, 92.0, negative
-272.0, -159.0, negative
-161.0, -105.0, negative
88.0, 251.0, negative
-428.0, -82.0, negative
449.0, 53.0, negative
70.0, -252.0, negative
-317.0, 403.0, negative
439.0, 107.0, negative
355.0, -107.0, negative
-331.0, -131.0, negative
327.0, 54.0, negative
89.0, 275.0, negative
349.0, -177.0, negative
146.0, -387.0, negative
137.0, 401.0, negative
-310.0, -162.0, negative
356.0, 390.0, negative
483.0, -410.0, negative
-555.0, 11.0, negative
-369.0, -338.0, negative
-434.0, 17.0, negative
-230.0, 136.0, negative
-373.0, -123.0, negative
353.0, -185.0, negative
-507.0, -324.0, negative
-537.0, 348.0, negative
238.0, -276.0, negative
-416.0, 348.0, negative
245.0, 111.0, negative
-158.0, 374.0, negative
-139.0, 89.0, negative
320.0, -388.0, negative
474.0, 272.0, negative
453.0, 187.0, negative
86.0, 403.0, negative
-24.0, -270.0, negative
478.0, 351.0, negative
297.0, -342.0, negative
-224.0, -304.0, negative
-538.0, 229.0, negative
281.0, 385.0, negative
-367.0, -276.0, negative
-31.0, 295.0, negative
329.0, -299.0, negative
-378.0, 198.0, negative
-426.0, 314.0, negative
0.0, -362.0, negative
-352.0, -35.0, negative
-50.0, 407.0, negative
149.0, 23.0, negative
502.0, 9.0, negative
268.0, 307.0, negative
492.0, -23.0, negative
-501.0, -122.0, negative
-565.0, -371.0, negative
-326.0, 56.0, negative
-478.0, -158.0, negative
-462.0, -9.0, negative
275.0, 45.0, negative
331.0, -147.0, negative
-503.0, -21.0, negative
-368.0, 64.0, negative
199.0, -316.0, negative
-402.0, 72.0, negative
397.0, -323.0, negative
-423.0, -52.0, negative
-476.0, -406.0, negative
-168.0, -234.0, negative
-54.0, -332.0, negative
-341.0, 203.0, negative
-154.0, 66.0, negative
-424.0, -318.0, negative
244.0, 103.0, negative
221.0, -228.0, negative
-181.0, 154.0, negative
302.0, 254.0, negative
328.0, 7.0, negative
-291.0, 263.0, negative
-332.0, 348.0, negative
71.0, -391.0, negative
159.0, 273.0, negative
-185.0, -317.0, negative
455.0, 33.0, negative
254.0, 305.0, negative
290.0, -369.0, negative
-285.0, -162.0, negative
-163.0, 412.0, negative
-165.0, -131.0, negative
-217.0, 389.0, negative
312.0, -9.0, negative
-123.0, -62.0, negative
28.0, 294.0, negative
-99.0, -384.0, positive
-199.0, -62.0, positive
-96.0, -18.0, positive
-373.0, 13.0, positive
-136.0, 172.0, positive
218.0, -59.0, positive
193.0, -53.0, positive
-132.0, 357.0, positive
40.0, 152.0, negative
-370.0, 274.0, negative
486.0, -394.0, negative
86.0, -139.0, negative
-185.0, 155.0, negative
233.0, 294.0, negative
-351.0, -42.0, negative
-510.0, -331.0, negative
-272.0, 53.0, negative
143.0, -294.0, negative
-175.0, -40.0, negative
-348.0, 384.0, negative
-182.0, -81.0, negative
-393.0, -154.0, negative
-389.0, -291.0, negative
-175.0, 41.0, negative
-116.0, -81.0, negative
438.0, -187.0, negative
20.0, 276.0, negative
-485.0, -175.0, negative
-173.0, -359.0, negative
-491.0, -294.0, negative
-293.0, 124.0, negative
375.0, -203.0, negative
453.0, 138.0, negative
-510.0, 67.0, negative
-311.0, 114.0, negative
273.0, -282.0, negative
341.0, -104.0, negative
-63.0, 355.0, negative
-173.0, -406.0, negative
452.0, 273.0, negative
72.0, -226.0, negative
144.0, -196.0, negative
62.0, -332.0, negative
8.0, -122.0, negative
350.0, 193.0, negative
95.0, 397.0, negative
-351.0, -385.0, negative
136.0, 297.0, negative
482.0, 351.0, negative
462.0, 32.0, negative
475.0, 42.0, negative
-225.0, 57.0, negative
-166.0, -351.0, negative
-537.0, 117.0, negative
-426.0, -244.0, negative
316.0, 235.0, negative
-436.0, 161.0, negative
-401.0, -12.0, negative
-486.0, -181.0, negative
480.0, 162.0, negative
94.0, 177.0, negative
