@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/04clover5z-800-7-30-bi/04clover5z-800-7-30-bi
@attribute a0 real [-573.0, 533.0]
@attribute a1 real [-413.0, 413.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
-186.0, 82.0, positive
175.0, 87.0, positive
52.0, 55.0, positive
334.0, 152.0, positive
117.0, 116.0, positive
116.0, 136.0, positive
161.0, 81.0, positive
-18.0, 135.0, positive
-50.0, 166.0, positive
-68.0, 157.0, positive
-37.0, 105.0, positive
-40.0, 162.0, positive
-109.0, 267.0, positive
234.0, -237.0, positive
-54.0, 159.0, positive
27.0, 76.0, positive
-325.0, -28.0, positive
-86.0, 21.0, positive
223.0, 96.0, positive
-140.0, 35.0, positive
-127.0, -31.0, positive
-305.0, -74.0, positive
105.0, 24.0, positive
-145.0, 5.0, positive
-32.0, -226.0, positive
234.0, 249.0, positive
-28.0, -146.0, positive
-78.0, -189.0, positive
5.0, -63.0, positive
8.0, -255.0, positive
-164.0, -253.0, positive
-70.0, -273.0, positive
-89.0, -295.0, positive
61.0, -63.0, positive
148.0, -127.0, positive
32.0, -29.0, positive
275.0, -214.0, positive
92.0, -54.0, positive
19.0, -203.0, positive
171.0, -116.0, positive
303.0, -208.0, positive
57.0, -51.0, positive
494.0, 362.0, negative
-226.0, 75.0, negative
164.0, 390.0, negative
89.0, -228.0, negative
-398.0, 245.0, negative
477.0, -71.0, negative
495.0, -263.0, negative
-563.0, 275.0, negative
-82.0, 73.0, negative
218.0, -18.0, negative
122.0, -2.0, negative
-138.0, -63.0, negative
-148.0, 120.0, negative
-267.0, 106.0, negative
335.0, 170.0, negative
60.0, -207.0, negative
-382.0, -31.0, negative
5.0, -169.0, negative
356.0, 62.0, negative
-188.0, -206.0, negative
-332.0, -61.0, negative
-504.0, 44.0, negative
89.0, 323.0, negative
-379.0, -73.0, negative
-408.0, -151.0, negative
-179.0, -75.0, negative
203.0, 366.0, negative
-239.0, 132.0, negative
30.0, 274.0, negative
381.0, 275.0, negative
330.0, 376.0, negative
292.0, -273.0, negative
-265.0, -112.0, negative
-132.0, -325.0, negative
-499.0, 368.0, negative
338.0, 71.0, negative
-436.0, 182.0, negative
365.0, -248.0, negative
98.0, -364.0, negative
-214.0, -135.0, negative
-297.0, -283.0, negative
-395.0, 184.0, negative
-501.0, 358.0, negative
-397.0, -317.0, negative
-454.0, -230.0, negative
-441.0, 297.0, negative
465.0, -11.0, negative
-134.0, -96.0, negative
369.0, 224.0, negative
2.0, 385.0, negative
231.0, 235.0, negative
43.0, 338.0, negative
-345.0, 189.0, negative
-159.0, -152.0, negative
-419.0, -345.0, negative
-293.0, 313.0, negative
-543.0, 207.0, negative
218.0, -102.0, negative
-205.0, 389.0, negative
299.0, 5.0, negative
-446.0, 369.0, negative
-132.0, 357.0, negative
492.0, 183.0, negative
90.0, 367.0, negative
199.0, -290.0, negative
392.0, -112.0, negative
-455.0, -381.0, negative
246.0, -32.0, negative
107.0, -207.0, negative
364.0, -175.0, negative
-324.0, 302.0, negative
-46.0, -358.0, negative
-557.0, 360.0, negative
305.0, -369.0, negative
76.0, -181.0, negative
102.0, 160.0, negative
-258.0, 143.0, negative
-414.0, 210.0, negative
-145.0, 114.0, negative
-370.0, 274.0, negative
114.0, -280.0, negative
-498.0, -86.0, negative
112.0, 208.0, negative
-22.0, 238.0, negative
-33.0, -288.0, negative
-249.0, 349.0, negative
-422.0, 333.0, negative
251.0, -270.0, negative
518.0, 297.0, negative
-325.0, -206.0, negative
-403.0, -298.0, negative
-322.0, -183.0, negative
160.0, -369.0, negative
266.0, -320.0, negative
528.0, 367.0, negative
-462.0, -108.0, negative
-501.0, 246.0, negative
263.0, 403.0, negative
