@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/ecoli-0_vs_1/ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, negative
0.34, 0.45, 0.48, 0.5, 0.38, 0.24, 0.35, negative
0.36, 0.39, 0.48, 0.5, 0.48, 0.22, 0.23, negative
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, negative
0.44, 0.35, 0.48, 0.5, 0.55, 0.55, 0.61, negative
0.36, 0.41, 0.48, 0.5, 0.48, 0.47, 0.54, negative
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, negative
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, negative
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, negative
0.44, 0.49, 0.48, 0.5, 0.39, 0.38, 0.4, negative
0.49, 0.43, 0.48, 0.5, 0.49, 0.3, 0.4, negative
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, negative
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, negative
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, negative
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, negative
0.34, 0.49, 0.48, 0.5, 0.58, 0.85, 0.8, positive
0.63, 0.5, 0.48, 0.5, 0.59, 0.85, 0.86, positive
0.71, 0.4, 0.48, 0.5, 0.71, 0.7, 0.74, positive
0.34, 0.51, 0.48, 0.5, 0.67, 0.9, 0.9, positive
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, positive
0.41, 0.51, 0.48, 0.5, 0.53, 0.75, 0.78, positive
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, positive
