@relation  ecoli-0_vs_1
@attribute Mcg real[0.0,0.89]
@attribute Gvh real[0.16,1.0]
@attribute Lip real[0.48,1.0]
@attribute Chg real[0.5,1.0]
@attribute Aac real[0.0,0.88]
@attribute Alm1 real[0.03,1.0]
@attribute Alm2 real[0.0,0.99]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, positive
0.58, 0.55, 0.48, 0.5, 0.57, 0.7, 0.74, positive
0.63, 0.47, 0.48, 0.5, 0.51, 0.82, 0.84, positive
0.52, 0.39, 0.48, 0.5, 0.65, 0.71, 0.73, positive
0.39, 0.41, 0.48, 0.5, 0.52, 0.72, 0.75, positive
0.34, 0.49, 0.48, 0.5, 0.58, 0.85, 0.8, positive
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, positive
0.06, 0.61, 0.48, 0.5, 0.49, 0.92, 0.37, positive
0.42, 0.24, 0.48, 0.5, 0.57, 0.27, 0.37, negative
0.34, 0.42, 0.48, 0.5, 0.41, 0.34, 0.43, negative
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, negative
0.56, 0.4, 0.48, 0.5, 0.49, 0.37, 0.46, negative
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, negative
0.32, 0.42, 0.48, 0.5, 0.35, 0.28, 0.38, negative
0.23, 0.33, 0.48, 0.5, 0.43, 0.33, 0.43, negative
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, negative
0.35, 0.34, 0.48, 0.5, 0.46, 0.3, 0.27, negative
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, negative
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, negative
0.43, 0.39, 0.48, 0.5, 0.47, 0.31, 0.41, negative
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, negative
0.29, 0.3, 0.48, 0.5, 0.45, 0.03, 0.17, negative
