@relation glass1
@attribute RI real [1.51115, 1.53393]
@attribute Na real [10.73, 17.38]
@attribute Mg real [0.0, 4.49]
@attribute Al real [0.29, 3.5]
@attribute Si real [69.81, 75.41]
@attribute K real [0.0, 6.21]
@attribute Ca real [5.43, 16.19]
@attribute Ba real [0.0, 3.15]
@attribute Fe real [0.0, 0.51]
@attribute Class {positive, negative}
@inputs RI, Na, Mg, Al, Si, K, Ca, Ba, Fe
@outputs Class
@data
1.52099096, 13.68925, 3.592, 1.12139, 71.9604, 0.08694, 9.40044, 0.0, 0.0, negative
1.51215232, 12.991, 3.47077, 1.12139, 72.9796, 0.621, 8.34596, 0.0, 0.1581, negative
1.51782454, 12.69175, 3.53812, 1.33967, 72.9516, 0.57132, 8.75484, 0.0, 0.0, negative
1.51796122, 12.7383, 3.47975, 1.3493, 72.9572, 0.63963, 8.67952, 0.0, 0.0, negative
1.51755118, 12.7117, 3.42138, 1.19843, 73.198, 0.58995, 8.63648, 0.0, 0.0, negative
1.5190091, 13.48975, 3.47975, 1.3493, 71.9492, 0.55269, 9.00232, 0.0, 0.0, negative
1.5170728, 13.7225, 3.6818, 1.81154, 72.0612, 0.63963, 7.88328, 0.0, 0.0, positive
1.51666276, 12.9378, 3.60996, 1.25942, 72.75, 0.5589, 8.6042, 0.0, 0.0, positive
1.52474966, 11.4482, 0.0, 1.87895, 72.19, 0.8073, 13.24176, 0.0, 0.1734, positive
1.52222108, 14.4274, 0.0, 0.99941, 72.6716, 0.09936, 11.52016, 0.0, 0.0408, positive
1.51686778, 13.2304, 3.53812, 1.48091, 72.8396, 0.5589, 8.09848, 0.0, 0.0, positive
1.53393, 12.2994, 0.0, 0.99941, 70.1628, 0.11799, 16.19, 0.0, 0.1224, positive
1.5163894, 12.5521, 3.47975, 1.86932, 73.2316, 0.62721, 8.07696, 0.0, 0.459, positive
1.53124196, 10.73, 0.0, 2.10044, 69.81, 0.57753, 13.29556, 3.15, 0.1428, positive
1.51914578, 12.73165, 1.84988, 1.85969, 72.6884, 0.60237, 10.08908, 0.0, 0.0, negative
1.5151365, 14.00845, 2.68053, 3.5, 69.8884, 1.68291, 5.87116, 2.1987, 0.0, negative
1.5215149, 11.02925, 1.71069, 1.56116, 73.4388, 0.57753, 11.617, 0.0, 0.0, negative
1.52171992, 11.56125, 1.88131, 1.56116, 72.862, 0.47196, 11.41256, 0.0, 0.0, negative
1.51609326, 15.126, 0.0, 2.51132, 73.0524, 0.04968, 8.83016, 0.5292, 0.0, negative
1.51830292, 14.3875, 0.0, 1.82117, 72.862, 1.40967, 6.47372, 2.8791, 0.0, negative
1.51622994, 14.14145, 0.0, 2.88047, 72.61, 0.08073, 9.18524, 1.06155, 0.0, negative
1.51837126, 14.321, 3.25974, 2.21921, 71.2492, 1.45935, 5.78508, 1.62855, 0.0, negative
