@relation iris0
@attribute SepalLength real [4.3, 7.9]
@attribute SepalWidth real [2.0, 4.4]
@attribute PetalLength real [1.0, 6.9]
@attribute PetalWidth real [0.1, 2.5]
@attribute Class {positive, negative}
@inputs SepalLength, SepalWidth, PetalLength, PetalWidth
@outputs Class
@data
5.1, 3.8, 1.5, 0.3, positive
5.1, 3.7, 1.5, 0.4, positive
4.8, 3.4, 1.9, 0.2, positive
4.8, 3.0, 1.4, 0.3, positive
5.0, 3.3, 1.4, 0.2, positive
6.8, 2.8, 4.8, 1.4, negative
5.9, 3.2, 4.8, 1.8, negative
5.7, 2.6, 3.5, 1.0, negative
6.7, 3.1, 4.7, 1.5, negative
5.7, 3.0, 4.2, 1.2, negative
5.7, 2.9, 4.2, 1.3, negative
6.3, 2.9, 5.6, 1.8, negative
7.6, 3.0, 6.6, 2.1, negative
6.5, 3.0, 5.5, 1.8, negative
6.9, 3.2, 5.7, 2.3, negative
