@relation  iris0
@attribute SepalLength real[4.3,7.9]
@attribute SepalWidth real[2.0,4.4]
@attribute PetalLength real[1.0,6.9]
@attribute PetalWidth real[0.1,2.5]
@attribute Class{positive,negative}
@inputs SepalLength,SepalWidth,PetalLength,PetalWidth
@outputs Class
@data
5.7, 3.8, 1.7, 0.3, positive
5.0, 3.2, 1.2, 0.2, positive
5.4, 3.4, 1.7, 0.2, positive
5.0, 3.3, 1.4, 0.2, positive
5.2, 3.5, 1.5, 0.2, positive
5.8, 2.7, 5.1, 1.9, negative
7.7, 3.0, 6.1, 2.3, negative
6.4, 3.1, 5.5, 1.8, negative
7.9, 3.8, 6.4, 2.0, negative
5.1, 2.5, 3.0, 1.1, negative
6.1, 3.0, 4.6, 1.4, negative
6.5, 3.2, 5.1, 2.0, negative
6.3, 3.3, 4.7, 1.6, negative
6.2, 2.9, 4.3, 1.3, negative
5.7, 3.0, 4.2, 1.2, negative
