@relation  vehicle3
@attribute Compactness integer[73,119]
@attribute Circularity integer[33,59]
@attribute Distance_circularity integer[40,112]
@attribute Radius_ratio integer[104,333]
@attribute Praxis_aspect_ratio integer[47,138]
@attribute Max_length_aspect_ratio integer[2,55]
@attribute Scatter_ratio integer[112,265]
@attribute Elongatedness integer[26,61]
@attribute Praxis_rectangular integer[17,29]
@attribute Length_rectangular integer[118,188]
@attribute Major_variance integer[130,320]
@attribute Minor_variance integer[184,1018]
@attribute Gyration_radius integer[109,268]
@attribute Major_skewness integer[59,135]
@attribute Minor_skewness integer[0,22]
@attribute Minor_kurtosis integer[0,41]
@attribute Major_kurtosis integer[176,206]
@attribute Hollows_ratio integer[181,211]
@attribute Class{positive,negative}
@inputs Compactness,Circularity,Distance_circularity,Radius_ratio,Praxis_aspect_ratio,Max_length_aspect_ratio,Scatter_ratio,Elongatedness,Praxis_rectangular,Length_rectangular,Major_variance,Minor_variance,Gyration_radius,Major_skewness,Minor_skewness,Minor_kurtosis,Major_kurtosis,Hollows_ratio
@outputs Class
@data
106, 53, 98, 203, 63, 11, 220, 30, 25, 167, 228, 710, 214, 71, 10, 24, 188, 197, positive
105, 55, 96, 181, 56, 9, 219, 30, 25, 175, 231, 713, 216, 74, 4, 5, 187, 194, positive
88, 40, 69, 146, 59, 7, 130, 51, 18, 134, 147, 252, 144, 64, 1, 1, 193, 200, positive
86, 37, 77, 144, 54, 7, 154, 43, 19, 127, 179, 352, 145, 71, 14, 13, 186, 191, positive
80, 36, 69, 127, 56, 7, 128, 53, 18, 124, 147, 240, 133, 70, 2, 21, 183, 191, positive
102, 54, 101, 190, 58, 10, 222, 30, 25, 171, 224, 728, 203, 71, 13, 6, 189, 198, positive
83, 39, 69, 127, 54, 5, 135, 49, 18, 131, 155, 274, 162, 69, 16, 6, 187, 190, positive
80, 37, 57, 116, 55, 6, 125, 54, 18, 125, 142, 229, 132, 81, 8, 5, 178, 184, positive
103, 56, 105, 183, 59, 10, 210, 32, 24, 173, 217, 648, 218, 72, 13, 22, 188, 196, positive
100, 45, 100, 209, 65, 8, 201, 32, 23, 147, 231, 611, 189, 72, 5, 5, 189, 195, positive
109, 49, 103, 186, 57, 11, 206, 32, 23, 156, 212, 630, 186, 65, 12, 21, 192, 201, positive
82, 39, 86, 140, 54, 7, 153, 45, 19, 134, 174, 338, 139, 71, 11, 18, 183, 189, positive
76, 38, 58, 125, 58, 5, 133, 51, 18, 127, 152, 259, 145, 87, 0, 21, 177, 184, positive
88, 44, 77, 167, 59, 6, 151, 44, 19, 145, 175, 343, 177, 64, 9, 12, 202, 208, positive
89, 44, 80, 191, 66, 6, 162, 40, 20, 143, 189, 396, 180, 66, 13, 11, 194, 199, positive
90, 36, 78, 179, 64, 8, 157, 42, 19, 126, 182, 367, 142, 66, 1, 20, 192, 198, positive
77, 38, 75, 144, 59, 6, 147, 46, 19, 132, 167, 315, 136, 80, 16, 20, 181, 187, positive
91, 41, 93, 197, 65, 9, 183, 36, 21, 137, 202, 504, 153, 66, 11, 24, 193, 200, positive
96, 55, 98, 161, 54, 10, 215, 31, 24, 175, 226, 683, 221, 76, 3, 6, 185, 193, positive
103, 54, 107, 218, 64, 12, 222, 30, 25, 174, 221, 728, 199, 67, 0, 18, 189, 200, positive
99, 55, 101, 206, 62, 13, 222, 30, 25, 180, 225, 722, 213, 71, 2, 3, 186, 196, positive
91, 46, 101, 199, 65, 9, 196, 34, 23, 146, 219, 574, 199, 73, 5, 8, 186, 194, positive
88, 38, 77, 156, 56, 7, 163, 41, 20, 129, 184, 395, 140, 67, 1, 9, 192, 198, positive
92, 39, 91, 191, 62, 8, 176, 37, 21, 137, 196, 466, 151, 67, 3, 23, 192, 200, positive
95, 49, 92, 193, 62, 10, 178, 37, 21, 154, 200, 478, 171, 64, 2, 0, 198, 206, positive
98, 48, 101, 195, 61, 11, 207, 31, 23, 152, 227, 650, 193, 71, 5, 7, 189, 196, positive
95, 43, 96, 202, 65, 10, 189, 35, 22, 143, 217, 534, 166, 71, 6, 27, 190, 197, positive
105, 56, 98, 209, 64, 11, 217, 31, 24, 173, 225, 696, 216, 72, 2, 19, 188, 199, positive
88, 35, 50, 121, 58, 5, 114, 59, 17, 122, 132, 192, 138, 74, 21, 4, 182, 187, positive
90, 39, 86, 169, 62, 7, 162, 41, 20, 131, 194, 388, 147, 74, 1, 22, 185, 191, positive
100, 58, 109, 230, 70, 11, 226, 30, 25, 182, 234, 752, 207, 72, 0, 13, 187, 198, positive
103, 55, 100, 194, 62, 11, 212, 31, 24, 175, 217, 666, 219, 73, 10, 14, 187, 194, positive
97, 48, 94, 198, 63, 9, 181, 36, 21, 155, 200, 494, 189, 64, 20, 11, 199, 203, positive
97, 46, 101, 210, 66, 8, 192, 35, 22, 151, 208, 546, 169, 66, 1, 32, 191, 200, positive
86, 38, 89, 176, 59, 9, 169, 39, 20, 132, 190, 428, 148, 67, 7, 33, 193, 202, positive
101, 53, 108, 184, 54, 12, 216, 31, 24, 172, 220, 685, 187, 68, 4, 24, 190, 201, positive
106, 52, 107, 211, 62, 8, 200, 33, 23, 161, 218, 602, 200, 67, 9, 17, 194, 201, positive
104, 58, 103, 230, 69, 11, 219, 30, 25, 176, 231, 716, 246, 71, 7, 4, 187, 196, positive
79, 39, 72, 127, 53, 9, 142, 48, 19, 135, 165, 295, 144, 77, 7, 21, 181, 189, positive
103, 55, 103, 211, 65, 11, 212, 31, 24, 165, 229, 673, 249, 72, 5, 16, 188, 196, positive
103, 48, 101, 204, 62, 12, 200, 33, 23, 158, 215, 595, 164, 66, 8, 22, 192, 202, positive
92, 42, 75, 172, 60, 8, 147, 45, 19, 142, 174, 322, 160, 62, 22, 10, 206, 211, positive
106, 48, 107, 202, 61, 10, 207, 32, 24, 153, 227, 635, 200, 70, 5, 28, 190, 203, negative
83, 36, 54, 119, 57, 6, 128, 53, 18, 125, 143, 238, 139, 82, 6, 3, 179, 183, negative
104, 53, 108, 206, 61, 11, 217, 31, 24, 168, 226, 694, 209, 67, 0, 9, 188, 201, negative
92, 38, 71, 174, 66, 7, 154, 43, 19, 133, 181, 355, 130, 70, 4, 24, 189, 195, negative
94, 39, 75, 184, 72, 8, 155, 42, 19, 133, 175, 365, 145, 70, 4, 5, 192, 200, negative
90, 39, 57, 114, 48, 7, 135, 51, 18, 139, 155, 261, 151, 85, 12, 8, 183, 182, negative
85, 43, 66, 123, 55, 7, 150, 45, 19, 146, 172, 326, 173, 83, 4, 15, 180, 183, negative
87, 39, 70, 148, 61, 7, 143, 46, 18, 136, 164, 307, 141, 69, 1, 2, 192, 199, negative
80, 44, 68, 120, 53, 8, 151, 45, 19, 146, 170, 333, 190, 80, 4, 16, 180, 185, negative
104, 53, 101, 199, 65, 11, 213, 31, 24, 168, 216, 667, 221, 72, 12, 12, 187, 198, negative
94, 45, 85, 163, 68, 10, 157, 44, 20, 156, 170, 357, 176, 73, 17, 11, 187, 195, negative
79, 43, 72, 141, 62, 8, 153, 44, 19, 144, 175, 344, 174, 78, 0, 8, 182, 188, negative
91, 42, 66, 142, 58, 9, 134, 50, 18, 142, 163, 268, 164, 69, 6, 5, 191, 197, negative
116, 53, 110, 231, 67, 12, 217, 31, 24, 165, 231, 692, 222, 67, 16, 28, 192, 206, negative
100, 46, 90, 172, 67, 9, 157, 43, 20, 150, 170, 363, 184, 67, 17, 7, 192, 200, negative
88, 39, 70, 166, 66, 7, 148, 44, 19, 134, 167, 332, 143, 69, 5, 13, 193, 201, negative
85, 43, 64, 128, 56, 8, 150, 46, 19, 144, 168, 324, 173, 82, 9, 14, 180, 184, negative
104, 53, 108, 204, 64, 11, 220, 31, 25, 172, 226, 707, 203, 71, 14, 30, 189, 203, negative
92, 37, 86, 167, 60, 7, 158, 42, 20, 131, 181, 373, 144, 68, 9, 21, 190, 196, negative
94, 45, 81, 166, 67, 9, 145, 46, 19, 147, 164, 313, 179, 66, 11, 14, 194, 202, negative
88, 42, 77, 151, 58, 8, 140, 47, 18, 142, 165, 293, 158, 64, 10, 11, 198, 205, negative
87, 42, 76, 159, 65, 5, 155, 42, 19, 138, 184, 362, 157, 76, 6, 12, 189, 193, negative
89, 46, 84, 163, 66, 11, 159, 43, 20, 159, 173, 368, 176, 72, 1, 20, 186, 197, negative
102, 51, 104, 217, 67, 10, 204, 32, 23, 162, 220, 621, 195, 68, 3, 19, 188, 197, negative
95, 49, 82, 139, 56, 11, 159, 43, 20, 162, 173, 365, 185, 75, 7, 10, 182, 191, negative
107, 57, 106, 172, 50, 6, 255, 26, 28, 169, 280, 957, 264, 85, 5, 9, 181, 183, negative
87, 42, 70, 139, 59, 7, 149, 45, 19, 142, 177, 327, 156, 78, 6, 9, 185, 188, negative
92, 37, 75, 191, 71, 6, 161, 40, 20, 128, 180, 393, 135, 69, 1, 14, 195, 202, negative
109, 55, 96, 191, 57, 6, 241, 28, 26, 170, 267, 857, 242, 85, 8, 9, 184, 184, negative
91, 37, 76, 138, 55, 8, 132, 51, 18, 135, 157, 256, 124, 69, 0, 12, 191, 192, negative
97, 45, 72, 187, 71, 5, 161, 40, 20, 144, 178, 399, 186, 70, 7, 7, 196, 203, negative
98, 52, 86, 207, 69, 5, 192, 33, 22, 161, 212, 570, 221, 75, 4, 6, 194, 195, negative
89, 38, 80, 169, 59, 7, 161, 41, 20, 131, 186, 389, 137, 68, 5, 15, 192, 197, negative
103, 53, 106, 172, 55, 10, 212, 32, 24, 168, 220, 660, 223, 73, 16, 24, 187, 197, negative
85, 34, 53, 127, 58, 6, 116, 58, 17, 121, 137, 197, 127, 70, 3, 20, 185, 189, negative
96, 39, 77, 160, 62, 8, 140, 47, 18, 150, 161, 294, 124, 62, 15, 3, 201, 208, negative
90, 48, 78, 143, 60, 11, 161, 43, 20, 159, 172, 374, 186, 75, 2, 2, 184, 193, negative
84, 37, 53, 121, 59, 5, 123, 55, 17, 125, 141, 221, 133, 82, 7, 1, 179, 183, negative
98, 48, 101, 203, 65, 9, 197, 33, 23, 152, 216, 584, 174, 68, 2, 5, 189, 197, negative
