@relation  yeast1
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc
@outputs Class
@data
0.52, 0.5, 0.51, 0.2, 0.5, 0.0, 0.51, 0.22, positive
0.53, 0.51, 0.51, 0.11, 0.5, 0.0, 0.49, 0.41, positive
0.46, 0.56, 0.56, 0.25, 0.5, 0.0, 0.43, 0.22, positive
0.39, 0.35, 0.49, 0.17, 0.5, 0.0, 0.49, 0.22, positive
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, positive
0.46, 0.32, 0.58, 0.17, 0.5, 0.0, 0.61, 0.25, positive
0.41, 0.46, 0.59, 0.19, 0.5, 0.0, 0.58, 0.27, positive
0.49, 0.6, 0.54, 0.35, 0.5, 0.0, 0.53, 0.46, positive
0.47, 0.4, 0.63, 0.19, 0.5, 0.0, 0.52, 0.32, positive
0.35, 0.4, 0.44, 0.25, 0.5, 0.0, 0.53, 0.57, positive
0.5, 0.51, 0.52, 0.09, 0.5, 0.0, 0.48, 0.25, positive
0.58, 0.48, 0.51, 0.47, 0.5, 0.0, 0.55, 0.22, positive
0.36, 0.49, 0.55, 0.21, 0.5, 0.0, 0.55, 0.33, positive
0.47, 0.43, 0.61, 0.4, 0.5, 0.0, 0.48, 0.47, positive
0.51, 0.5, 0.54, 0.11, 0.5, 0.0, 0.6, 0.22, positive
0.34, 0.35, 0.61, 0.19, 0.5, 0.0, 0.52, 0.25, positive
0.58, 0.56, 0.45, 0.12, 0.5, 0.0, 0.51, 0.22, positive
0.47, 0.46, 0.53, 0.12, 0.5, 0.0, 0.51, 0.25, positive
0.36, 0.68, 0.46, 0.16, 0.5, 0.0, 0.53, 0.28, positive
0.55, 0.38, 0.52, 0.16, 0.5, 0.0, 0.49, 0.64, positive
0.48, 0.65, 0.36, 0.24, 0.5, 0.0, 0.54, 0.31, positive
0.56, 0.45, 0.59, 0.14, 0.5, 0.0, 0.51, 0.26, positive
0.29, 0.39, 0.46, 0.36, 0.5, 0.0, 0.51, 0.22, positive
0.39, 0.3, 0.56, 0.12, 0.5, 0.0, 0.53, 0.38, positive
0.47, 0.5, 0.47, 0.22, 0.5, 0.0, 0.53, 0.45, positive
0.43, 0.44, 0.64, 0.19, 0.5, 0.0, 0.38, 0.33, positive
0.49, 0.31, 0.49, 0.35, 0.5, 0.0, 0.51, 0.29, positive
0.49, 0.62, 0.65, 0.18, 0.5, 0.0, 0.46, 0.43, positive
0.4, 0.66, 0.34, 0.21, 0.5, 0.0, 0.52, 0.26, positive
0.37, 0.43, 0.62, 0.27, 0.5, 0.0, 0.48, 0.22, positive
0.54, 0.6, 0.57, 0.17, 0.5, 0.0, 0.44, 0.22, positive
0.39, 0.34, 0.68, 0.3, 0.5, 0.0, 0.5, 0.29, positive
0.4, 0.4, 0.44, 0.37, 0.5, 0.0, 0.53, 0.25, positive
0.39, 0.39, 0.55, 0.52, 0.5, 0.0, 0.37, 0.16, positive
0.7, 0.51, 0.47, 0.24, 0.5, 0.0, 0.53, 0.25, positive
0.48, 0.41, 0.54, 0.39, 0.5, 0.0, 0.51, 0.22, positive
0.33, 0.21, 0.53, 0.15, 1.0, 0.0, 0.52, 0.5, positive
0.42, 0.38, 0.52, 0.29, 0.5, 0.0, 0.42, 0.22, positive
0.31, 0.42, 0.48, 0.17, 0.5, 0.0, 0.49, 0.53, positive
0.35, 0.42, 0.56, 0.28, 0.5, 0.0, 0.47, 0.22, positive
0.33, 0.43, 0.64, 0.16, 0.5, 0.0, 0.52, 0.52, positive
0.6, 0.48, 0.44, 0.52, 0.5, 0.0, 0.54, 0.63, positive
0.46, 0.43, 0.49, 0.79, 0.5, 0.0, 0.49, 0.63, positive
0.46, 0.42, 0.51, 0.16, 0.5, 0.0, 0.56, 0.22, negative
0.63, 0.62, 0.42, 0.12, 0.5, 0.0, 0.52, 0.25, negative
0.48, 0.41, 0.52, 0.33, 0.5, 0.0, 0.51, 0.26, negative
0.38, 0.4, 0.53, 0.12, 0.5, 0.0, 0.55, 0.22, negative
0.54, 0.49, 0.49, 0.2, 0.5, 0.0, 0.52, 0.22, negative
0.59, 0.5, 0.52, 0.28, 0.5, 0.0, 0.55, 0.25, negative
0.43, 0.33, 0.67, 0.12, 0.5, 0.0, 0.45, 0.23, negative
0.7, 0.58, 0.53, 0.39, 0.5, 0.0, 0.59, 0.22, negative
0.73, 0.55, 0.41, 0.16, 0.5, 0.0, 0.46, 0.22, negative
0.49, 0.42, 0.56, 0.55, 0.5, 0.0, 0.42, 0.25, negative
0.38, 0.34, 0.55, 0.44, 0.5, 0.0, 0.48, 0.26, negative
0.46, 0.52, 0.51, 0.13, 0.5, 0.0, 0.47, 0.22, negative
0.6, 0.4, 0.59, 0.18, 0.5, 0.0, 0.48, 0.22, negative
0.58, 0.58, 0.58, 0.49, 0.5, 0.0, 0.49, 0.26, negative
0.58, 0.53, 0.38, 0.18, 0.5, 0.0, 0.52, 0.22, negative
0.5, 0.5, 0.48, 0.17, 0.5, 0.0, 0.47, 0.26, negative
0.51, 0.51, 0.32, 0.27, 0.5, 0.0, 0.54, 0.22, negative
0.27, 0.56, 0.56, 0.18, 0.5, 0.0, 0.52, 0.22, negative
0.74, 0.82, 0.46, 0.24, 0.5, 0.0, 0.48, 0.22, negative
0.48, 0.39, 0.56, 0.23, 0.5, 0.0, 0.6, 0.22, negative
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.22, negative
0.45, 0.47, 0.53, 0.15, 0.5, 0.0, 0.52, 0.27, negative
