@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, negative
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, negative
42.0, 35.0, 48.0, 5.0, 58.0, 15.0, 27.0, negative
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, negative
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, negative
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, negative
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, negative
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, negative
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, negative
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, negative
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, negative
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, negative
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, negative
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, negative
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, negative
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, negative
34.0, 51.0, 48.0, 5.0, 67.0, 9.0, 9.0, negative
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, negative
58.0, 55.0, 48.0, 5.0, 57.0, 7.0, 74.0, negative
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, negative
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, negative
46.0, 59.0, 48.0, 5.0, 36.0, 76.0, 23.0, negative
7.0, 61.0, 48.0, 5.0, 56.0, 52.0, 43.0, negative
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, negative
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, negative
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, negative
75.0, 84.0, 48.0, 5.0, 35.0, 52.0, 33.0, negative
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, negative
