@relation  ecoli-0-1-3-7_vs_2-6
@attribute Mcg real[0.0,89.0]
@attribute Gvh real[1.0,88.0]
@attribute Lip real[1.0,48.0]
@attribute Chg real[1.0,5.0]
@attribute Aac real[0.0,88.0]
@attribute Alm1 real[1.0,94.0]
@attribute Alm2 real[0.0,99.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2
@outputs Class
@data
63.0, 49.0, 48.0, 5.0, 54.0, 76.0, 79.0, positive
89.0, 55.0, 48.0, 5.0, 51.0, 72.0, 76.0, negative
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, negative
31.0, 36.0, 48.0, 5.0, 58.0, 94.0, 94.0, negative
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, negative
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, negative
0.0, 51.0, 48.0, 5.0, 35.0, 67.0, 44.0, negative
37.0, 47.0, 48.0, 5.0, 39.0, 76.0, 79.0, negative
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, negative
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, negative
21.0, 51.0, 48.0, 5.0, 5.0, 32.0, 41.0, negative
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, negative
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, negative
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, negative
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, negative
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, negative
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, negative
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, negative
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, negative
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, negative
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, negative
71.0, 52.0, 48.0, 5.0, 64.0, 1.0, 99.0, negative
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, negative
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, negative
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, negative
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, negative
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, negative
74.0, 47.0, 48.0, 5.0, 5.0, 57.0, 42.0, negative
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, negative
