@relation shuttle-2_vs_5
@attribute A1 integer [27, 126]
@attribute A2 integer [-4821, 5075]
@attribute A3 integer [21, 149]
@attribute A4 integer [-3939, 3830]
@attribute A5 integer [-188, 436]
@attribute A6 integer [-26739, 15164]
@attribute A7 integer [-48, 105]
@attribute A8 integer [-353, 270]
@attribute A9 integer [-356, 266]
@attribute Class {positive, negative}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
79, 5, 83, 0, -46, 0, 4, 130, 126, negative
84, 1, 87, 0, -4, 0, 3, 92, 88, negative
79, 0, 83, 0, -30, 38, 4, 114, 110, negative
81, 2, 83, -8, -6, -968, 3, 91, 88, negative
106, -2, 107, -4, 72, 0, 1, 35, 34, negative
105, 2, 106, 0, 70, 0, 1, 36, 36, negative
81, -3, 85, -6, -40, 0, 4, 126, 122, negative
102, -4, 104, 0, 70, -11, 2, 34, 32, negative
105, 0, 106, 0, 70, -30, 1, 36, 36, negative
75, 0, 79, 0, -42, 0, 4, 123, 120, negative
85, 0, 88, 0, 0, -14, 3, 88, 86, negative
102, 0, 103, 0, 72, 26, 1, 31, 30, negative
105, 0, 106, 0, 72, 1, 1, 34, 32, negative
78, 0, 82, 0, -42, -22, 4, 126, 122, negative
77, 0, 81, 0, -42, 0, 4, 125, 120, negative
80, 3, 84, 0, -42, -18, 4, 128, 124, negative
81, 0, 85, -4, -22, 0, 4, 108, 104, negative
76, 0, 80, 0, -40, 17, 4, 121, 116, negative
79, 0, 84, 0, -38, 0, 4, 123, 118, negative
82, 0, 86, -2, -40, 0, 4, 128, 124, negative
82, -1, 86, 0, -12, 0, 4, 99, 94, negative
71, -12, 76, -9, -40, 4, 5, 117, 112, negative
81, 0, 86, 0, -24, -18, 4, 112, 108, negative
102, 0, 102, -1, 72, 14, 1, 30, 30, negative
80, 0, 84, -5, -42, 0, 4, 128, 124, negative
103, 2, 105, 9, 70, 0, 2, 35, 34, negative
79, 0, 84, 0, -40, 11, 4, 125, 120, negative
75, 1, 79, 8, -42, 0, 5, 123, 118, negative
105, 0, 107, 0, 70, 0, 1, 37, 36, negative
105, -3, 106, 0, 70, 0, 1, 36, 36, negative
111, 4254, 105, 0, 36, 0, -6, 69, 76, negative
82, -3, 86, -1, -4, -11, 3, 91, 88, negative
85, 0, 88, 8, 0, 0, 3, 88, 84, negative
77, 1, 81, 1, -40, 10, 4, 123, 118, negative
81, 0, 85, 0, -40, 11, 4, 126, 122, negative
85, 0, 89, 0, 2, -3, 4, 86, 82, negative
79, 0, 83, 0, -32, 43, 4, 117, 112, negative
77, 6, 81, 0, -42, -22, 4, 125, 122, negative
