@relation  shuttle-2_vs_5
@attribute A1 integer[27,126]
@attribute A2 integer[-4821,5075]
@attribute A3 integer[21,149]
@attribute A4 integer[-3939,3830]
@attribute A5 integer[-188,436]
@attribute A6 integer[-26739,15164]
@attribute A7 integer[-48,105]
@attribute A8 integer[-353,270]
@attribute A9 integer[-356,266]
@attribute Class{positive,negative}
@inputs A1,A2,A3,A4,A5,A6,A7,A8,A9
@outputs Class
@data
41, 33, 77, 0, -22, 0, 37, 101, 64, positive
70, 57, 82, 0, -42, -4, 12, 126, 114, positive
66, 77, 82, 0, -40, 25, 16, 123, 106, positive
41, 21, 77, 0, 28, 0, 36, 48, 12, positive
60, 50, 82, 0, -40, 28, 22, 123, 102, positive
81, 0, 84, 0, -12, 19, 4, 97, 94, negative
81, 0, 84, 0, -18, 2, 4, 103, 98, negative
79, -4, 83, 0, -46, 0, 5, 130, 126, negative
104, 2, 105, 2, 70, 0, 1, 35, 34, negative
83, 0, 86, 0, -2, 0, 4, 89, 86, negative
81, -2, 85, 0, -22, 0, 4, 108, 104, negative
85, 0, 88, 0, 2, 23, 3, 86, 82, negative
82, 4, 86, 0, -6, 0, 3, 94, 90, negative
102, 0, 102, 0, 72, 29, 1, 30, 30, negative
78, 5, 81, 0, -40, 0, 4, 123, 120, negative
101, 0, 102, 0, 72, 552, 1, 30, 28, negative
83, 0, 86, 0, -6, -26, 3, 94, 90, negative
85, 0, 88, 0, 6, 2, 3, 83, 80, negative
79, 4, 84, 6, -40, 4, 4, 125, 120, negative
106, 0, 108, 4, 70, 0, 2, 38, 36, negative
76, 1, 80, 1, -42, 0, 4, 124, 120, negative
84, 0, 88, 0, -2, -12, 3, 90, 88, negative
104, -1, 105, 0, 70, 0, 1, 35, 34, negative
102, 0, 102, 0, 70, -2, 1, 33, 32, negative
81, -2, 86, -2, -40, 0, 4, 127, 122, negative
85, 0, 88, 0, -2, -4, 3, 91, 88, negative
79, 0, 83, 0, -30, 19, 4, 114, 110, negative
79, 0, 83, 0, -40, -7, 4, 125, 120, negative
80, 0, 84, 1, -28, 0, 4, 112, 108, negative
76, 0, 81, 0, -42, -18, 5, 125, 120, negative
83, 0, 86, -1, -4, 15, 3, 92, 88, negative
85, 0, 88, -2, 2, 0, 3, 86, 82, negative
102, -14, 107, 0, 70, 0, 5, 37, 32, negative
80, -1, 84, 0, -42, 0, 5, 128, 124, negative
102, 0, 103, 0, 72, 15, 1, 31, 30, negative
104, 0, 105, 0, 72, 1, 1, 33, 32, negative
104, -3, 105, 0, 72, 5, 1, 33, 32, negative
84, 0, 88, 0, 6, 0, 4, 83, 78, negative
77, 4, 81, 0, -42, 0, 4, 125, 120, negative
79, 0, 84, 3, -42, -6, 4, 128, 124, negative
83, 0, 86, 0, -6, 0, 4, 94, 90, negative
108, 4, 109, 3, 72, 7, 1, 36, 36, negative
80, -3, 84, 0, -40, 4, 5, 126, 122, negative
80, 0, 84, 0, -42, 0, 5, 128, 124, negative
82, 0, 87, 1, -40, 5, 5, 128, 124, negative
76, 2, 81, 1, -42, -24, 5, 125, 120, negative
85, 0, 88, 0, 0, 0, 3, 88, 86, negative
78, 0, 81, -7, -40, 0, 4, 123, 120, negative
82, 0, 86, 1, -2, 7, 4, 88, 84, negative
82, 0, 85, 0, -2, 6, 3, 88, 84, negative
81, 0, 85, 0, -40, 11, 4, 126, 122, negative
103, 1, 104, 8, 70, 0, 1, 35, 34, negative
102, 0, 103, 3, 70, -6, 1, 33, 32, negative
75, 2, 79, 3, -42, 0, 4, 123, 120, negative
85, 0, 88, 0, 2, -15, 3, 86, 82, negative
86, 3, 89, 0, 2, 0, 3, 86, 84, negative
82, 0, 85, 0, -6, 17, 3, 93, 90, negative
85, 0, 88, -3, 0, 0, 3, 88, 84, negative
79, 0, 83, 0, -42, 0, 5, 127, 122, negative
101, 0, 102, 0, 72, 19, 1, 30, 28, negative
76, 0, 80, 0, -40, 14, 4, 121, 116, negative
80, -2, 84, 0, -14, -3, 4, 99, 96, negative
81, -2, 84, 0, -20, 29, 4, 105, 102, negative
79, 0, 83, 4, -42, -19, 5, 127, 122, negative
84, 0, 88, 0, -2, -30, 4, 90, 86, negative
104, 1, 106, 3, 70, 0, 1, 36, 34, negative
107, 5, 108, 0, 70, 0, 1, 38, 38, negative
102, 0, 103, 0, 70, -8, 1, 33, 32, negative
85, 0, 88, -5, 2, -11, 3, 86, 82, negative
84, -5, 88, 0, 6, 0, 4, 83, 80, negative
83, 0, 87, 6, -4, 0, 4, 92, 88, negative
84, 4, 86, -2, -4, 0, 3, 92, 88, negative
82, 0, 85, 0, -10, 0, 3, 95, 92, negative
82, 0, 86, 1, -40, 7, 5, 128, 124, negative
76, 0, 81, 2, -42, 0, 5, 125, 120, negative
80, 0, 84, 0, -40, 31, 4, 125, 122, negative
102, 0, 103, 3, 72, 25, 1, 31, 30, negative
