@relation  winequality-red-3_vs_5
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
7.3, 0.98, 0.05, 2.1, 0.061, 20.0, 49.0, 0.99705, 3.31, 0.55, 9.7, positive
7.2, 0.62, 0.06, 2.7, 0.077, 15.0, 85.0, 0.99746, 3.51, 0.54, 9.5, negative
11.7, 0.49, 0.49, 2.2, 0.083, 5.0, 15.0, 1.0, 3.19, 0.43, 9.2, negative
8.0, 0.52, 0.03, 1.7, 0.07, 10.0, 35.0, 0.99575, 3.34, 0.57, 10.0, negative
5.6, 0.54, 0.04, 1.7, 0.049, 5.0, 13.0, 0.9942, 3.72, 0.58, 11.4, negative
7.5, 0.65, 0.18, 7.0, 0.088, 27.0, 94.0, 0.99915, 3.38, 0.77, 9.4, negative
8.1, 0.66, 0.7, 2.2, 0.098, 25.0, 129.0, 0.9972, 3.08, 0.53, 9.0, negative
12.3, 0.5, 0.49, 2.2, 0.089, 5.0, 14.0, 1.0002, 3.19, 0.44, 9.6, negative
7.1, 0.735, 0.16, 1.9, 0.1, 15.0, 77.0, 0.9966, 3.27, 0.64, 9.3, negative
7.0, 0.78, 0.08, 2.0, 0.093, 10.0, 19.0, 0.9956, 3.4, 0.47, 10.0, negative
7.1, 0.63, 0.06, 2.0, 0.083, 8.0, 29.0, 0.99855, 3.67, 0.73, 9.6, negative
8.8, 0.24, 0.54, 2.5, 0.083, 25.0, 57.0, 0.9983, 3.39, 0.54, 9.2, negative
9.0, 0.69, 0.0, 2.4, 0.088, 19.0, 38.0, 0.999, 3.35, 0.6, 9.3, negative
9.9, 0.63, 0.24, 2.4, 0.077, 6.0, 33.0, 0.9974, 3.09, 0.57, 9.4, negative
11.1, 0.35, 0.48, 3.1, 0.09, 5.0, 21.0, 0.9986, 3.17, 0.53, 10.5, negative
9.1, 0.47, 0.49, 2.6, 0.094, 38.0, 106.0, 0.9982, 3.08, 0.59, 9.1, negative
8.3, 0.6, 0.25, 2.2, 0.118, 9.0, 38.0, 0.99616, 3.15, 0.53, 9.8, negative
8.1, 0.785, 0.52, 2.0, 0.122, 37.0, 153.0, 0.9969, 3.21, 0.69, 9.3, negative
8.4, 0.745, 0.11, 1.9, 0.09, 16.0, 63.0, 0.9965, 3.19, 0.82, 9.6, negative
15.5, 0.645, 0.49, 4.2, 0.095, 10.0, 23.0, 1.00315, 2.92, 0.74, 11.1, negative
11.5, 0.41, 0.52, 3.0, 0.08, 29.0, 55.0, 1.0001, 3.26, 0.88, 11.0, negative
8.6, 0.52, 0.38, 1.5, 0.096, 5.0, 18.0, 0.99666, 3.2, 0.52, 9.4, negative
6.5, 0.885, 0.0, 2.3, 0.166, 6.0, 12.0, 0.99551, 3.56, 0.51, 10.8, negative
6.5, 0.46, 0.14, 2.4, 0.114, 9.0, 37.0, 0.99732, 3.66, 0.65, 9.8, negative
6.7, 0.56, 0.09, 2.9, 0.079, 7.0, 22.0, 0.99669, 3.46, 0.61, 10.2, negative
8.3, 0.85, 0.14, 2.5, 0.093, 13.0, 54.0, 0.99724, 3.36, 0.54, 10.1, negative
7.5, 0.58, 0.14, 2.2, 0.077, 27.0, 60.0, 0.9963, 3.28, 0.59, 9.8, negative
5.6, 0.915, 0.0, 2.1, 0.041, 17.0, 78.0, 0.99346, 3.68, 0.73, 11.4, negative
9.9, 0.49, 0.58, 3.5, 0.094, 9.0, 43.0, 1.0004, 3.29, 0.58, 9.0, negative
10.8, 0.45, 0.33, 2.5, 0.099, 20.0, 38.0, 0.99818, 3.24, 0.71, 10.8, negative
7.0, 0.62, 0.1, 1.4, 0.071, 27.0, 63.0, 0.996, 3.28, 0.61, 9.2, negative
8.6, 0.55, 0.09, 3.3, 0.068, 8.0, 17.0, 0.99735, 3.23, 0.44, 10.0, negative
7.6, 0.9, 0.06, 2.5, 0.079, 5.0, 10.0, 0.9967, 3.39, 0.56, 9.8, negative
8.6, 0.8, 0.11, 2.3, 0.084, 12.0, 31.0, 0.9979, 3.4, 0.48, 9.9, negative
8.0, 0.28, 0.44, 1.8, 0.081, 28.0, 68.0, 0.99501, 3.36, 0.66, 11.2, negative
8.6, 0.47, 0.3, 3.0, 0.076, 30.0, 135.0, 0.9976, 3.3, 0.53, 9.4, negative
7.5, 0.5, 0.36, 6.1, 0.071, 17.0, 102.0, 0.9978, 3.35, 0.8, 10.5, negative
9.5, 0.37, 0.52, 2.0, 0.082, 6.0, 26.0, 0.998, 3.18, 0.51, 9.5, negative
7.1, 0.34, 0.28, 2.0, 0.082, 31.0, 68.0, 0.99694, 3.45, 0.48, 9.4, negative
7.1, 0.715, 0.0, 2.35, 0.071, 21.0, 47.0, 0.99632, 3.29, 0.45, 9.4, negative
7.9, 0.5, 0.33, 2.0, 0.084, 15.0, 143.0, 0.9968, 3.2, 0.55, 9.5, negative
6.2, 0.6, 0.08, 2.0, 0.09, 32.0, 44.0, 0.9949, 3.45, 0.58, 10.5, negative
9.3, 0.43, 0.44, 1.9, 0.085, 9.0, 22.0, 0.99708, 3.28, 0.55, 9.5, negative
9.2, 0.58, 0.2, 3.0, 0.081, 15.0, 115.0, 0.998, 3.23, 0.59, 9.5, negative
8.5, 0.49, 0.11, 2.3, 0.084, 9.0, 67.0, 0.9968, 3.17, 0.53, 9.4, negative
7.6, 0.39, 0.31, 2.3, 0.082, 23.0, 71.0, 0.9982, 3.52, 0.65, 9.7, negative
7.1, 0.755, 0.15, 1.8, 0.107, 20.0, 84.0, 0.99593, 3.19, 0.5, 9.5, negative
7.0, 0.49, 0.49, 5.6, 0.06, 26.0, 121.0, 0.9974, 3.34, 0.76, 10.5, negative
10.2, 0.67, 0.39, 1.9, 0.054, 6.0, 17.0, 0.9976, 3.17, 0.47, 10.0, negative
