@relation  winequality-red-8_vs_6-7
@attribute FixedAcidity real[4.6,15.9]
@attribute VolatileAcidity real[0.12,1.58]
@attribute CitricAcid real[0.0,1.0]
@attribute ResidualSugar real[0.9,15.5]
@attribute Chlorides real[0.012,0.611]
@attribute FreeSulfurDioxide real[1.0,72.0]
@attribute TotalSulfurDioxide real[6.0,289.0]
@attribute Density real[0.99007,1.00369]
@attribute PH real[2.74,4.01]
@attribute Sulphates real[0.33,2.0]
@attribute Alcohol real[8.4,14.9]
@attribute Class{positive,negative}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Class
@data
10.3, 0.32, 0.45, 6.4, 0.073, 5.0, 13.0, 0.9976, 3.23, 0.82, 12.6, positive
7.2, 0.38, 0.31, 2.0, 0.056, 15.0, 29.0, 0.99472, 3.23, 0.76, 11.3, positive
7.9, 1.04, 0.05, 2.2, 0.084, 13.0, 29.0, 0.9959, 3.22, 0.55, 9.9, negative
5.3, 0.57, 0.01, 1.7, 0.054, 5.0, 27.0, 0.9934, 3.57, 0.84, 12.5, negative
10.4, 0.24, 0.49, 1.8, 0.075, 6.0, 20.0, 0.9977, 3.18, 1.06, 11.0, negative
6.5, 0.53, 0.06, 2.0, 0.063, 29.0, 44.0, 0.99489, 3.38, 0.83, 10.3, negative
9.3, 0.775, 0.27, 2.8, 0.078, 24.0, 56.0, 0.9984, 3.31, 0.67, 10.6, negative
6.4, 0.67, 0.08, 2.1, 0.045, 19.0, 48.0, 0.9949, 3.49, 0.49, 11.4, negative
8.1, 0.545, 0.18, 1.9, 0.08, 13.0, 35.0, 0.9972, 3.3, 0.59, 9.0, negative
8.7, 0.48, 0.3, 2.8, 0.066, 10.0, 28.0, 0.9964, 3.33, 0.67, 11.2, negative
8.0, 0.5, 0.39, 2.6, 0.082, 12.0, 46.0, 0.9985, 3.43, 0.62, 10.7, negative
7.3, 0.33, 0.47, 2.1, 0.077, 5.0, 11.0, 0.9958, 3.33, 0.53, 10.3, negative
7.2, 0.48, 0.07, 5.5, 0.089, 10.0, 18.0, 0.99684, 3.37, 0.68, 11.2, negative
6.8, 0.67, 0.15, 1.8, 0.118, 13.0, 20.0, 0.9954, 3.42, 0.67, 11.3, negative
7.2, 0.63, 0.0, 1.9, 0.097, 14.0, 38.0, 0.99675, 3.37, 0.58, 9.0, negative
6.4, 0.69, 0.0, 1.65, 0.055, 7.0, 12.0, 0.99162, 3.47, 0.53, 12.9, negative
7.8, 0.55, 0.0, 1.7, 0.07, 7.0, 17.0, 0.99659, 3.26, 0.64, 9.4, negative
8.0, 0.715, 0.22, 2.3, 0.075, 13.0, 81.0, 0.99688, 3.24, 0.54, 9.5, negative
12.4, 0.49, 0.58, 3.0, 0.103, 28.0, 99.0, 1.0008, 3.16, 1.0, 11.5, negative
6.9, 0.84, 0.21, 4.1, 0.074, 16.0, 65.0, 0.99842, 3.53, 0.72, 9.23333333333333, negative
11.4, 0.36, 0.69, 2.1, 0.09, 6.0, 21.0, 1.0, 3.17, 0.62, 9.2, negative
7.7, 0.43, 0.25, 2.6, 0.073, 29.0, 63.0, 0.99615, 3.37, 0.58, 10.5, negative
7.2, 0.38, 0.3, 1.8, 0.073, 31.0, 70.0, 0.99685, 3.42, 0.59, 9.5, negative
8.8, 0.46, 0.45, 2.6, 0.065, 7.0, 18.0, 0.9947, 3.32, 0.79, 14.0, negative
5.9, 0.61, 0.08, 2.1, 0.071, 16.0, 24.0, 0.99376, 3.56, 0.77, 11.1, negative
7.1, 0.39, 0.12, 2.1, 0.065, 14.0, 24.0, 0.99252, 3.3, 0.53, 13.3, negative
7.5, 0.57, 0.08, 2.6, 0.089, 14.0, 27.0, 0.99592, 3.3, 0.59, 10.4, negative
6.6, 0.58, 0.0, 2.2, 0.1, 50.0, 63.0, 0.99544, 3.59, 0.68, 11.4, negative
8.3, 0.49, 0.36, 1.8, 0.222, 6.0, 16.0, 0.998, 3.18, 0.6, 9.5, negative
9.5, 0.78, 0.22, 1.9, 0.077, 6.0, 32.0, 0.9988, 3.26, 0.56, 10.6, negative
10.4, 0.33, 0.63, 2.8, 0.084, 5.0, 22.0, 0.9998, 3.26, 0.74, 11.2, negative
8.5, 0.47, 0.27, 1.9, 0.058, 18.0, 38.0, 0.99518, 3.16, 0.85, 11.1, negative
13.7, 0.415, 0.68, 2.9, 0.085, 17.0, 43.0, 1.0014, 3.06, 0.8, 10.0, negative
10.8, 0.47, 0.43, 2.1, 0.171, 27.0, 66.0, 0.9982, 3.17, 0.76, 10.8, negative
8.2, 0.31, 0.4, 2.2, 0.058, 6.0, 10.0, 0.99536, 3.31, 0.68, 11.2, negative
6.9, 0.54, 0.3, 2.2, 0.088, 9.0, 105.0, 0.99725, 3.25, 1.18, 10.5, negative
10.7, 0.67, 0.22, 2.7, 0.107, 17.0, 34.0, 1.0004, 3.28, 0.98, 9.9, negative
6.7, 0.16, 0.64, 2.1, 0.059, 24.0, 52.0, 0.99494, 3.34, 0.71, 11.2, negative
7.6, 0.63, 0.03, 2.0, 0.08, 27.0, 43.0, 0.99578, 3.44, 0.64, 10.9, negative
8.3, 0.42, 0.38, 2.5, 0.094, 24.0, 60.0, 0.9979, 3.31, 0.7, 10.8, negative
9.8, 0.5, 0.34, 2.3, 0.094, 10.0, 45.0, 0.99864, 3.24, 0.6, 9.7, negative
14.0, 0.41, 0.63, 3.8, 0.089, 6.0, 47.0, 1.0014, 3.01, 0.81, 10.8, negative
8.7, 0.31, 0.46, 1.4, 0.059, 11.0, 25.0, 0.9966, 3.36, 0.76, 10.1, negative
8.9, 0.22, 0.48, 1.8, 0.077, 29.0, 60.0, 0.9968, 3.39, 0.53, 9.4, negative
9.6, 0.38, 0.42, 1.9, 0.071, 5.0, 13.0, 0.99659, 3.15, 0.75, 10.5, negative
7.1, 0.59, 0.02, 2.3, 0.082, 24.0, 94.0, 0.99744, 3.55, 0.53, 9.7, negative
7.4, 0.6, 0.26, 2.1, 0.083, 17.0, 91.0, 0.99616, 3.29, 0.56, 9.8, negative
7.8, 0.5, 0.12, 1.8, 0.178, 6.0, 21.0, 0.996, 3.28, 0.87, 9.8, negative
8.3, 0.26, 0.42, 2.0, 0.08, 11.0, 27.0, 0.9974, 3.21, 0.8, 9.4, negative
7.2, 0.38, 0.38, 2.8, 0.068, 23.0, 42.0, 0.99356, 3.34, 0.72, 12.9, negative
7.1, 0.46, 0.2, 1.9, 0.077, 28.0, 54.0, 0.9956, 3.37, 0.64, 10.4, negative
11.1, 0.44, 0.42, 2.2, 0.064, 14.0, 19.0, 0.99758, 3.25, 0.57, 10.4, negative
7.2, 0.37, 0.32, 2.0, 0.062, 15.0, 28.0, 0.9947, 3.23, 0.73, 11.3, negative
11.5, 0.54, 0.71, 4.4, 0.124, 6.0, 15.0, 0.9984, 3.01, 0.83, 11.8, negative
7.4, 0.635, 0.1, 2.4, 0.08, 16.0, 33.0, 0.99736, 3.58, 0.69, 10.8, negative
6.9, 0.41, 0.31, 2.0, 0.079, 21.0, 51.0, 0.99668, 3.47, 0.55, 9.5, negative
7.6, 0.31, 0.34, 2.5, 0.082, 26.0, 35.0, 0.99356, 3.22, 0.59, 12.5, negative
7.5, 0.49, 0.2, 2.6, 0.332, 8.0, 14.0, 0.9968, 3.21, 0.9, 10.5, negative
