@relation winequality-white-3-9_vs_5
@attribute FixedAcidity real [3.8, 14.2]
@attribute VolatileAcidity real [0.08, 1.1]
@attribute CitricAcid real [0.0, 1.66]
@attribute ResidualSugar real [0.6, 65.8]
@attribute Chlorides real [0.009, 0.346]
@attribute FreeSulfurDioxide real [2.0, 289.0]
@attribute TotalSulfurDioxide real [9.0, 440.0]
@attribute Density real [0.98711, 1.03898]
@attribute PH real [2.72, 3.82]
@attribute Sulphates real [0.22, 1.08]
@attribute Alcohol real [8.0, 14.2]
@attribute Class {positive, negative}
@inputs FixedAcidity, VolatileAcidity, CitricAcid, ResidualSugar, Chlorides, FreeSulfurDioxide, TotalSulfurDioxide, Density, PH, Sulphates, Alcohol
@outputs Class
@data
8.1, 0.27, 0.41, 1.45, 0.033, 11.0, 63.0, 0.9908, 2.99, 0.56, 12.0, negative
7.9, 0.18, 0.37, 1.2, 0.04, 16.0, 75.0, 0.992, 3.18, 0.63, 10.8, negative
6.5, 0.31, 0.14, 7.5, 0.044, 34.0, 133.0, 0.9955, 3.22, 0.5, 9.5, negative
6.5, 0.39, 0.23, 5.4, 0.051, 25.0, 149.0, 0.9934, 3.24, 0.35, 10.0, negative
7.3, 0.24, 0.39, 17.95, 0.057, 45.0, 149.0, 0.9999, 3.21, 0.36, 8.6, negative
7.3, 0.24, 0.39, 17.95, 0.057, 45.0, 149.0, 0.9999, 3.21, 0.36, 8.6, negative
6.9, 0.19, 0.35, 5.0, 0.067, 32.0, 150.0, 0.995, 3.36, 0.48, 9.8, negative
7.0, 0.47, 0.07, 1.1, 0.035, 17.0, 151.0, 0.991, 3.02, 0.34, 10.5, negative
6.7, 0.25, 0.13, 1.2, 0.041, 81.0, 174.0, 0.992, 3.14, 0.42, 9.8, negative
7.4, 0.24, 0.29, 10.1, 0.05, 21.0, 105.0, 0.9962, 3.13, 0.35, 9.5, negative
6.8, 0.3, 0.23, 4.6, 0.061, 50.5, 238.5, 0.9958, 3.32, 0.6, 9.5, negative
6.0, 0.27, 0.28, 4.8, 0.063, 31.0, 201.0, 0.9964, 3.69, 0.71, 10.0, negative
6.1, 0.27, 0.43, 7.5, 0.049, 65.0, 243.0, 0.9957, 3.12, 0.47, 9.0, negative
7.2, 0.27, 0.46, 18.75, 0.052, 45.0, 255.0, 1.0, 3.04, 0.52, 8.9, negative
7.2, 0.31, 0.5, 13.3, 0.056, 68.0, 195.0, 0.9982, 3.01, 0.47, 9.2, negative
6.7, 0.41, 0.34, 9.2, 0.049, 29.0, 150.0, 0.9968, 3.22, 0.51, 9.1, negative
7.3, 0.32, 0.48, 13.3, 0.06, 57.0, 196.0, 0.9982, 3.04, 0.5, 9.2, negative
5.9, 0.36, 0.04, 5.7, 0.046, 21.0, 87.0, 0.9934, 3.22, 0.51, 10.2, negative
7.8, 0.24, 0.32, 12.2, 0.054, 42.0, 138.0, 0.9984, 3.01, 0.54, 8.8, negative
7.4, 0.39, 0.23, 7.0, 0.033, 29.0, 126.0, 0.994, 3.14, 0.42, 10.5, negative
6.7, 0.27, 0.31, 15.7, 0.036, 44.0, 179.0, 0.9979, 3.26, 0.56, 9.6, negative
6.3, 0.31, 0.34, 2.2, 0.045, 20.0, 77.0, 0.9927, 3.3, 0.43, 10.2, negative
