@relation  yeast-1-2-8-9_vs_7
@attribute Mcg real[0.11,1.0]
@attribute Gvh real[0.13,1.0]
@attribute Alm real[0.21,1.0]
@attribute Mit real[0.0,1.0]
@attribute Erl real[0.5,1.0]
@attribute Pox real[0.0,0.83]
@attribute Vac real[0.0,0.73]
@attribute Nuc real[0.0,1.0]
@attribute Class{positive,negative}
@inputs Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc
@outputs Class
@data
0.51, 0.46, 0.49, 0.21, 0.5, 0.0, 0.55, 0.22, positive
0.69, 0.7, 0.5, 0.3, 0.5, 0.0, 0.54, 0.22, positive
0.57, 0.54, 0.32, 0.15, 0.5, 0.0, 0.52, 0.25, positive
0.6, 0.62, 0.54, 0.11, 0.5, 0.0, 0.51, 0.22, negative
0.38, 0.26, 0.6, 0.1, 0.5, 0.0, 0.48, 0.44, negative
0.59, 0.65, 0.52, 0.3, 0.5, 0.0, 0.46, 0.31, negative
0.43, 0.47, 0.47, 0.18, 0.5, 0.0, 0.47, 0.22, negative
0.45, 0.51, 0.43, 0.22, 0.5, 0.0, 0.57, 0.22, negative
0.59, 0.46, 0.48, 0.46, 0.5, 0.0, 0.49, 0.22, negative
0.35, 0.21, 1.0, 0.8, 0.5, 0.0, 0.13, 0.01, negative
0.54, 0.49, 0.49, 0.2, 0.5, 0.0, 0.52, 0.22, negative
0.57, 0.55, 0.52, 0.16, 0.5, 0.0, 0.49, 0.39, negative
0.51, 0.46, 0.57, 0.25, 0.5, 0.0, 0.53, 0.22, negative
0.52, 0.51, 0.51, 0.12, 0.5, 0.0, 0.51, 0.4, negative
0.6, 0.48, 0.44, 0.52, 0.5, 0.0, 0.54, 0.63, negative
0.66, 0.54, 0.53, 0.17, 0.5, 0.0, 0.54, 0.22, negative
0.5, 0.5, 0.48, 0.34, 0.5, 0.0, 0.52, 0.27, negative
0.45, 0.56, 0.49, 0.17, 0.5, 0.0, 0.52, 0.22, negative
0.49, 0.47, 0.52, 0.16, 0.5, 0.0, 0.53, 0.28, negative
0.46, 0.42, 0.51, 0.16, 0.5, 0.0, 0.56, 0.22, negative
0.47, 0.47, 0.54, 0.19, 0.5, 0.0, 0.51, 0.33, negative
0.47, 0.49, 0.63, 0.17, 0.5, 0.0, 0.31, 0.26, negative
0.47, 0.37, 0.46, 0.28, 0.5, 0.0, 0.52, 0.99, negative
0.53, 0.31, 0.58, 0.39, 0.5, 0.0, 0.47, 0.37, negative
0.52, 0.47, 0.58, 0.18, 0.5, 0.0, 0.34, 0.11, negative
0.62, 0.6, 0.54, 0.22, 0.5, 0.0, 0.54, 0.27, negative
0.82, 0.63, 0.47, 0.18, 0.5, 0.0, 0.5, 0.22, negative
0.59, 0.64, 0.44, 0.26, 0.5, 0.0, 0.5, 0.22, negative
0.57, 0.44, 0.42, 0.2, 0.5, 0.0, 0.54, 0.22, negative
0.45, 0.27, 0.57, 0.36, 0.5, 0.0, 0.52, 0.18, negative
0.47, 0.46, 0.53, 0.12, 0.5, 0.0, 0.51, 0.25, negative
0.61, 0.38, 0.57, 0.36, 0.5, 0.0, 0.44, 0.21, negative
0.47, 0.43, 0.48, 0.16, 0.5, 0.0, 0.46, 0.27, negative
0.55, 0.49, 0.6, 0.18, 0.5, 0.0, 0.51, 0.22, negative
0.52, 0.43, 0.61, 0.22, 0.5, 0.0, 0.45, 0.22, negative
0.41, 0.45, 0.46, 0.23, 0.5, 0.0, 0.5, 0.7, negative
0.36, 0.49, 0.55, 0.21, 0.5, 0.0, 0.55, 0.33, negative
0.58, 0.51, 0.63, 0.2, 0.5, 0.0, 0.5, 0.42, negative
0.33, 0.38, 0.47, 0.14, 0.5, 0.0, 0.51, 0.47, negative
0.54, 0.54, 0.56, 0.18, 0.5, 0.0, 0.46, 0.29, negative
0.39, 0.65, 0.57, 0.19, 0.5, 0.0, 0.43, 0.25, negative
0.43, 0.32, 0.56, 0.27, 0.5, 0.0, 0.47, 0.27, negative
