@relation yeast6
@attribute Mcg real [0.11, 1.0]
@attribute Gvh real [0.13, 1.0]
@attribute Alm real [0.21, 1.0]
@attribute Mit real [0.0, 1.0]
@attribute Erl real [0.5, 1.0]
@attribute Pox real [0.0, 0.83]
@attribute Vac real [0.0, 0.73]
@attribute Nuc real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc
@outputs Class
@data
0.4, 0.42, 0.57, 0.35, 0.5, 0.0, 0.53, 0.25, negative
0.38, 0.61, 0.61, 0.12, 0.5, 0.0, 0.53, 0.47, negative
0.74, 0.67, 0.47, 0.34, 0.5, 0.0, 0.42, 0.22, positive
0.72, 0.61, 0.45, 0.3, 0.5, 0.0, 0.54, 0.25, negative
0.42, 0.24, 0.34, 0.16, 0.5, 0.0, 0.5, 0.22, negative
0.66, 0.62, 0.49, 0.1, 0.5, 0.0, 0.49, 0.22, negative
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.22, negative
0.61, 0.72, 0.39, 0.33, 0.5, 0.0, 0.58, 0.22, negative
0.5, 0.64, 0.57, 0.15, 0.5, 0.0, 0.47, 0.22, negative
0.59, 0.48, 0.5, 0.14, 0.5, 0.0, 0.45, 0.25, negative
0.26, 0.44, 0.3, 0.11, 0.5, 0.0, 0.51, 0.47, negative
0.31, 0.55, 0.52, 0.17, 0.5, 0.0, 0.52, 0.22, negative
0.72, 0.62, 0.34, 0.29, 0.5, 0.0, 0.56, 0.28, negative
0.42, 0.31, 0.62, 0.12, 0.5, 0.0, 0.4, 0.22, negative
0.49, 0.6, 0.43, 0.56, 0.5, 0.0, 0.36, 0.22, negative
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, negative
0.31, 0.46, 0.54, 0.52, 0.5, 0.0, 0.5, 0.34, negative
0.82, 0.75, 0.54, 0.23, 0.5, 0.0, 0.46, 0.22, positive
0.53, 0.53, 0.6, 0.13, 0.5, 0.0, 0.49, 0.22, negative
0.61, 0.3, 0.59, 0.12, 0.5, 0.0, 0.49, 0.27, negative
0.83, 0.58, 0.33, 0.04, 0.5, 0.0, 0.53, 0.22, negative
0.29, 0.43, 0.4, 0.15, 0.5, 0.0, 0.53, 0.22, negative
0.58, 0.53, 0.38, 0.18, 0.5, 0.0, 0.52, 0.22, negative
0.73, 0.55, 0.41, 0.16, 0.5, 0.0, 0.46, 0.22, negative
0.37, 0.34, 0.32, 0.22, 0.5, 0.0, 0.56, 0.22, negative
0.59, 0.43, 0.52, 0.19, 0.5, 0.0, 0.55, 0.27, negative
0.56, 0.57, 0.63, 0.39, 1.0, 0.0, 0.59, 0.4, negative
0.39, 0.39, 0.55, 0.52, 0.5, 0.0, 0.37, 0.16, negative
0.61, 0.57, 0.45, 0.21, 0.5, 0.0, 0.5, 0.42, negative
