@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/paw02a-600-5-0-bi/paw02a-600-5-0-bi
@attribute a0 real [-63.0, 762.0]
@attribute a1 real [66.0, 991.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
358.0, 400.0, positive
413.0, 295.0, positive
419.0, 390.0, positive
439.0, 429.0, positive
406.0, 302.0, positive
424.0, 321.0, positive
407.0, 299.0, positive
465.0, 350.0, positive
399.0, 335.0, positive
441.0, 358.0, positive
475.0, 401.0, positive
445.0, 775.0, positive
433.0, 684.0, positive
434.0, 680.0, positive
451.0, 590.0, positive
520.0, 668.0, positive
515.0, 751.0, positive
390.0, 626.0, positive
418.0, 591.0, positive
517.0, 678.0, positive
427.0, 605.0, positive
517.0, 630.0, positive
524.0, 711.0, positive
428.0, 714.0, positive
463.0, 778.0, positive
222.0, 545.0, positive
252.0, 459.0, positive
175.0, 563.0, positive
234.0, 433.0, positive
307.0, 515.0, positive
274.0, 410.0, positive
311.0, 429.0, positive
164.0, 485.0, positive
167.0, 489.0, positive
299.0, 549.0, positive
320.0, 449.0, positive
328.0, 472.0, positive
283.0, 541.0, positive
192.0, 576.0, positive
253.0, 516.0, positive
338.0, 524.0, positive
185.0, 481.0, positive
289.0, 98.0, negative
683.0, 872.0, negative
225.0, 622.0, negative
345.0, 107.0, negative
14.0, 476.0, negative
514.0, 233.0, negative
541.0, 124.0, negative
306.0, 122.0, negative
447.0, 506.0, negative
143.0, 512.0, negative
121.0, 552.0, negative
538.0, 263.0, negative
620.0, 262.0, negative
413.0, 125.0, negative
652.0, 202.0, negative
268.0, 325.0, negative
154.0, 317.0, negative
698.0, 453.0, negative
622.0, 545.0, negative
490.0, 479.0, negative
438.0, 485.0, negative
98.0, 690.0, negative
128.0, 77.0, negative
721.0, 278.0, negative
708.0, 127.0, negative
287.0, 72.0, negative
51.0, 394.0, negative
494.0, 781.0, negative
208.0, 870.0, negative
58.0, 526.0, negative
-14.0, 257.0, negative
671.0, 460.0, negative
218.0, 367.0, negative
526.0, 462.0, negative
64.0, 107.0, negative
509.0, 848.0, negative
55.0, 113.0, negative
608.0, 148.0, negative
552.0, 343.0, negative
585.0, 122.0, negative
193.0, 700.0, negative
640.0, 565.0, negative
370.0, 249.0, negative
240.0, 979.0, negative
459.0, 489.0, negative
40.0, 247.0, negative
742.0, 619.0, negative
121.0, 92.0, negative
750.0, 277.0, negative
108.0, 296.0, negative
277.0, 186.0, negative
86.0, 74.0, negative
-13.0, 728.0, negative
330.0, 887.0, negative
345.0, 442.0, negative
740.0, 304.0, negative
262.0, 261.0, negative
346.0, 718.0, negative
669.0, 527.0, negative
632.0, 906.0, negative
207.0, 68.0, negative
456.0, 825.0, negative
519.0, 596.0, negative
315.0, 99.0, negative
333.0, 112.0, negative
433.0, 843.0, negative
643.0, 123.0, negative
393.0, 278.0, negative
673.0, 228.0, negative
198.0, 395.0, negative
632.0, 715.0, negative
725.0, 397.0, negative
448.0, 789.0, negative
111.0, 705.0, negative
690.0, 434.0, negative
300.0, 180.0, negative
694.0, 634.0, negative
-15.0, 746.0, negative
662.0, 245.0, negative
66.0, 214.0, negative
503.0, 126.0, negative
32.0, 960.0, negative
203.0, 165.0, negative
437.0, 847.0, negative
-8.0, 176.0, negative
337.0, 436.0, negative
279.0, 289.0, negative
422.0, 976.0, negative
584.0, 581.0, negative
687.0, 641.0, negative
277.0, 736.0, negative
308.0, 876.0, negative
212.0, 332.0, negative
539.0, 412.0, negative
66.0, 618.0, negative
696.0, 300.0, negative
111.0, 727.0, negative
728.0, 172.0, negative
718.0, 114.0, negative
681.0, 292.0, negative
706.0, 588.0, negative
532.0, 584.0, negative
716.0, 711.0, negative
59.0, 873.0, negative
236.0, 615.0, negative
141.0, 443.0, negative
753.0, 849.0, negative
651.0, 886.0, negative
453.0, 506.0, negative
439.0, 234.0, negative
671.0, 800.0, negative
167.0, 263.0, negative
510.0, 95.0, negative
463.0, 578.0, negative
733.0, 641.0, negative
576.0, 128.0, negative
587.0, 966.0, negative
566.0, 342.0, negative
762.0, 895.0, negative
727.0, 192.0, negative
79.0, 534.0, negative
335.0, 978.0, negative
1.0, 203.0, negative
188.0, 273.0, negative
8.0, 947.0, negative
209.0, 155.0, negative
609.0, 410.0, negative
29.0, 354.0, negative
296.0, 986.0, negative
240.0, 620.0, negative
595.0, 223.0, negative
415.0, 934.0, negative
755.0, 902.0, negative
408.0, 986.0, negative
65.0, 239.0, negative
692.0, 385.0, negative
466.0, 188.0, negative
367.0, 251.0, negative
