@relation paw02a-600-5-60-BI-5-4tra
@attribute a0 real[-62.0,762.0]
@attribute a1 real[66.0,990.0]
@attribute a2{positive,negative}
@inputs a0, a1
@outputs a2
@data
194.0,614.0,positive
623.0,660.0,positive
613.0,734.0,positive
224.0,622.0,positive
527.0,363.0,positive
145.0,499.0,positive
268.0,325.0,positive
298.0,485.0,positive
366.0,493.0,positive
509.0,848.0,positive
606.0,633.0,positive
399.0,280.0,positive
316.0,366.0,positive
615.0,609.0,positive
502.0,350.0,positive
121.0,552.0,positive
286.0,645.0,positive
259.0,656.0,positive
403.0,352.0,positive
315.0,732.0,positive
349.0,339.0,positive
301.0,479.0,positive
514.0,233.0,positive
125.0,408.0,positive
386.0,409.0,positive
441.0,358.0,positive
359.0,484.0,positive
455.0,526.0,positive
594.0,387.0,positive
542.0,331.0,positive
588.0,652.0,positive
456.0,825.0,positive
438.0,844.0,positive
487.0,276.0,positive
349.0,757.0,positive
180.0,407.0,positive
386.0,836.0,positive
390.0,626.0,positive
435.0,629.0,positive
318.0,627.0,positive
411.0,757.0,positive
476.0,702.0,positive
538.0,648.0,positive
543.0,469.0,positive
459.0,489.0,positive
551.0,295.0,positive
301.0,267.0,positive
461.0,661.0,positive
443.0,807.0,positive
268.0,309.0,positive
360.0,523.0,positive
518.0,638.0,positive
342.0,463.0,positive
488.0,649.0,positive
541.0,646.0,positive
538.0,808.0,positive
252.0,459.0,positive
175.0,563.0,positive
263.0,553.0,positive
501.0,497.0,positive
229.0,437.0,positive
492.0,846.0,positive
241.0,673.0,positive
274.0,410.0,positive
159.0,507.0,positive
590.0,722.0,positive
156.0,540.0,positive
140.0,617.0,positive
299.0,549.0,positive
458.0,540.0,positive
322.0,567.0,positive
249.0,410.0,positive
200.0,526.0,positive
343.0,662.0,positive
255.0,412.0,positive
373.0,751.0,positive
220.0,479.0,positive
253.0,516.0,positive
430.0,575.0,positive
282.0,501.0,positive
510.0,810.0,negative
756.0,619.0,negative
672.0,564.0,negative
445.0,577.0,negative
422.0,976.0,negative
69.0,433.0,negative
252.0,854.0,negative
573.0,547.0,negative
734.0,220.0,negative
643.0,603.0,negative
665.0,738.0,negative
584.0,581.0,negative
687.0,641.0,negative
277.0,736.0,negative
308.0,876.0,negative
545.0,736.0,negative
738.0,257.0,negative
197.0,969.0,negative
4.0,582.0,negative
66.0,618.0,negative
696.0,300.0,negative
662.0,91.0,negative
556.0,379.0,negative
111.0,727.0,negative
247.0,373.0,negative
738.0,692.0,negative
391.0,795.0,negative
354.0,105.0,negative
162.0,636.0,negative
681.0,292.0,negative
502.0,434.0,negative
706.0,588.0,negative
364.0,956.0,negative
532.0,584.0,negative
-49.0,620.0,negative
59.0,873.0,negative
598.0,165.0,negative
316.0,634.0,negative
141.0,443.0,negative
753.0,849.0,negative
174.0,210.0,negative
202.0,629.0,negative
76.0,311.0,negative
-37.0,951.0,negative
352.0,753.0,negative
453.0,506.0,negative
-8.0,79.0,negative
709.0,485.0,negative
183.0,212.0,negative
671.0,800.0,negative
-19.0,609.0,negative
167.0,263.0,negative
15.0,630.0,negative
510.0,95.0,negative
492.0,199.0,negative
559.0,66.0,negative
502.0,235.0,negative
733.0,641.0,negative
69.0,713.0,negative
542.0,507.0,negative
576.0,128.0,negative
587.0,966.0,negative
566.0,342.0,negative
762.0,895.0,negative
92.0,517.0,negative
61.0,555.0,negative
698.0,315.0,negative
727.0,192.0,negative
682.0,755.0,negative
79.0,534.0,negative
27.0,683.0,negative
335.0,978.0,negative
646.0,951.0,negative
-44.0,389.0,negative
1.0,203.0,negative
188.0,273.0,negative
143.0,99.0,negative
-38.0,208.0,negative
51.0,476.0,negative
669.0,886.0,negative
165.0,330.0,negative
8.0,947.0,negative
331.0,679.0,negative
-19.0,406.0,negative
609.0,410.0,negative
695.0,458.0,negative
228.0,768.0,negative
29.0,354.0,negative
160.0,220.0,negative
296.0,986.0,negative
716.0,451.0,negative
57.0,158.0,negative
240.0,620.0,negative
50.0,126.0,negative
595.0,223.0,negative
752.0,214.0,negative
460.0,481.0,negative
1.0,959.0,negative
660.0,903.0,negative
415.0,934.0,negative
313.0,836.0,negative
490.0,175.0,negative
400.0,816.0,negative
-45.0,529.0,negative
755.0,902.0,negative
71.0,610.0,negative
408.0,986.0,negative
743.0,390.0,negative
423.0,826.0,negative
623.0,305.0,negative
692.0,385.0,negative
746.0,426.0,negative
197.0,337.0,negative
160.0,788.0,negative
341.0,922.0,negative
216.0,243.0,negative
466.0,188.0,negative
367.0,251.0,negative
446.0,913.0,negative
95.0,890.0,negative
229.0,848.0,negative
129.0,806.0,negative
452.0,573.0,negative
623.0,119.0,negative
18.0,242.0,negative
523.0,579.0,negative
433.0,459.0,negative
541.0,462.0,negative
596.0,533.0,negative
308.0,775.0,negative
686.0,477.0,negative
518.0,512.0,negative
699.0,760.0,negative
467.0,581.0,negative
-7.0,299.0,negative
222.0,709.0,negative
696.0,696.0,negative
558.0,460.0,negative
397.0,172.0,negative
232.0,613.0,negative
-33.0,318.0,negative
279.0,222.0,negative
305.0,687.0,negative
721.0,356.0,negative
446.0,469.0,negative
716.0,720.0,negative
115.0,183.0,negative
23.0,719.0,negative
370.0,984.0,negative
577.0,886.0,negative
166.0,562.0,negative
185.0,846.0,negative
165.0,556.0,negative
99.0,545.0,negative
352.0,958.0,negative
693.0,255.0,negative
524.0,590.0,negative
257.0,952.0,negative
-62.0,990.0,negative
677.0,818.0,negative
438.0,476.0,negative
131.0,618.0,negative
242.0,808.0,negative
729.0,715.0,negative
11.0,527.0,negative
544.0,966.0,negative
55.0,135.0,negative
40.0,542.0,negative
308.0,961.0,negative
575.0,324.0,negative
156.0,567.0,negative
101.0,701.0,negative
105.0,718.0,negative
733.0,393.0,negative
268.0,671.0,negative
346.0,232.0,negative
628.0,481.0,negative
-24.0,181.0,negative
82.0,687.0,negative
261.0,841.0,negative
520.0,927.0,negative
375.0,876.0,negative
194.0,959.0,negative
152.0,985.0,negative
585.0,467.0,negative
71.0,242.0,negative
321.0,882.0,negative
637.0,457.0,negative
561.0,979.0,negative
57.0,896.0,negative
686.0,140.0,negative
576.0,398.0,negative
390.0,192.0,negative
644.0,711.0,negative
62.0,447.0,negative
268.0,753.0,negative
694.0,485.0,negative
648.0,79.0,negative
623.0,404.0,negative
420.0,100.0,negative
251.0,843.0,negative
740.0,911.0,negative
352.0,956.0,negative
724.0,941.0,negative
-6.0,386.0,negative
