@relation paw02a-600-5-70-BI-5-4tst
@attribute a0 real[-63.0,760.0]
@attribute a1 real[67.0,992.0]
@attribute a2{positive,negative}
@inputs a0, a1
@outputs a2
@data
358.0,400.0,positive
415.0,294.0,positive
422.0,495.0,positive
373.0,563.0,positive
347.0,386.0,positive
399.0,335.0,positive
179.0,607.0,positive
433.0,684.0,positive
301.0,632.0,positive
244.0,359.0,positive
463.0,778.0,positive
287.0,383.0,positive
313.0,731.0,positive
234.0,433.0,positive
393.0,798.0,positive
263.0,421.0,positive
291.0,260.0,positive
111.0,601.0,positive
286.0,267.0,positive
338.0,524.0,positive
24.0,102.0,negative
272.0,981.0,negative
64.0,364.0,negative
67.0,630.0,negative
86.0,514.0,negative
-63.0,592.0,negative
87.0,837.0,negative
449.0,215.0,negative
338.0,206.0,negative
372.0,543.0,negative
177.0,920.0,negative
48.0,902.0,negative
725.0,87.0,negative
123.0,323.0,negative
722.0,588.0,negative
286.0,393.0,negative
349.0,984.0,negative
225.0,703.0,negative
40.0,162.0,negative
493.0,283.0,negative
289.0,806.0,negative
352.0,769.0,negative
424.0,797.0,negative
61.0,100.0,negative
503.0,450.0,negative
418.0,946.0,negative
242.0,266.0,negative
40.0,409.0,negative
667.0,323.0,negative
732.0,915.0,negative
607.0,743.0,negative
598.0,954.0,negative
-2.0,183.0,negative
360.0,925.0,negative
735.0,783.0,negative
84.0,842.0,negative
39.0,483.0,negative
195.0,230.0,negative
335.0,721.0,negative
-62.0,575.0,negative
664.0,852.0,negative
73.0,202.0,negative
677.0,906.0,negative
205.0,916.0,negative
730.0,949.0,negative
437.0,138.0,negative
142.0,640.0,negative
193.0,869.0,negative
26.0,452.0,negative
379.0,838.0,negative
1.0,333.0,negative
135.0,657.0,negative
636.0,626.0,negative
674.0,935.0,negative
714.0,200.0,negative
576.0,616.0,negative
-11.0,698.0,negative
-15.0,702.0,negative
171.0,910.0,negative
656.0,101.0,negative
235.0,755.0,negative
400.0,926.0,negative
77.0,138.0,negative
53.0,652.0,negative
-15.0,791.0,negative
51.0,860.0,negative
372.0,601.0,negative
521.0,407.0,negative
429.0,810.0,negative
698.0,589.0,negative
415.0,246.0,negative
691.0,649.0,negative
277.0,945.0,negative
88.0,150.0,negative
548.0,423.0,negative
85.0,391.0,negative
-25.0,240.0,negative
627.0,321.0,negative
68.0,401.0,negative
325.0,908.0,negative
260.0,629.0,negative
720.0,923.0,negative
624.0,746.0,negative
89.0,220.0,negative
101.0,489.0,negative
610.0,875.0,negative
730.0,503.0,negative
-9.0,392.0,negative
101.0,97.0,negative
585.0,199.0,negative
721.0,635.0,negative
722.0,922.0,negative
346.0,445.0,negative
48.0,470.0,negative
8.0,74.0,negative
248.0,604.0,negative
496.0,561.0,negative
529.0,274.0,negative
608.0,537.0,negative
340.0,697.0,negative
