@relation  paw02a-800-7-30-BI-5-5tra
@attribute a0 real[-63.0,760.0]
@attribute a1 real[66.0,992.0]
@attribute a2{positive,negative}
@inputs a0,a1
@outputs a2
@data
404.0, 387.0, positive
292.0, 545.0, positive
488.0, 649.0, positive
349.0, 757.0, positive
606.0, 633.0, positive
358.0, 400.0, positive
386.0, 409.0, positive
263.0, 553.0, positive
200.0, 526.0, positive
121.0, 552.0, positive
695.0, 931.0, negative
306.0, 110.0, negative
164.0, 649.0, negative
-15.0, 702.0, negative
329.0, 783.0, negative
340.0, 664.0, negative
445.0, 954.0, negative
260.0, 629.0, negative
203.0, 377.0, negative
511.0, 784.0, negative
272.0, 981.0, negative
627.0, 321.0, negative
681.0, 218.0, negative
123.0, 323.0, negative
633.0, 538.0, negative
124.0, 259.0, negative
318.0, 258.0, negative
591.0, 115.0, negative
483.0, 115.0, negative
541.0, 220.0, negative
475.0, 555.0, negative
686.0, 728.0, negative
717.0, 328.0, negative
710.0, 682.0, negative
241.0, 990.0, negative
40.0, 623.0, negative
171.0, 910.0, negative
444.0, 223.0, negative
8.0, 74.0, negative
224.0, 139.0, negative
624.0, 926.0, negative
160.0, 589.0, negative
325.0, 908.0, negative
517.0, 888.0, negative
-2.0, 199.0, negative
526.0, 414.0, negative
33.0, 587.0, negative
50.0, 638.0, negative
429.0, 891.0, negative
755.0, 106.0, negative
26.0, 452.0, negative
367.0, 196.0, negative
641.0, 649.0, negative
576.0, 616.0, negative
679.0, 527.0, negative
-28.0, 319.0, negative
-51.0, 933.0, negative
235.0, 755.0, negative
719.0, 449.0, negative
277.0, 953.0, negative
160.0, 778.0, negative
70.0, 356.0, negative
115.0, 734.0, negative
449.0, 448.0, negative
545.0, 644.0, negative
659.0, 181.0, negative
234.0, 127.0, negative
679.0, 469.0, negative
53.0, 920.0, negative
701.0, 835.0, negative
636.0, 970.0, negative
73.0, 202.0, negative
85.0, 391.0, negative
677.0, 906.0, negative
38.0, 710.0, negative
141.0, 505.0, negative
80.0, 447.0, negative
27.0, 855.0, negative
125.0, 392.0, negative
701.0, 972.0, negative
