@relation /Users/vgarciaj/Software-2016-05-17/dist/.a/paw02a-800-7-50-bi/paw02a-800-7-50-bi
@attribute a0 real [-63.0, 760.0]
@attribute a1 real [66.0, 992.0]
@attribute a2 {positive, negative}
@inputs a0, a1
@outputs a2
@data
358.0, 400.0, positive
224.0, 622.0, positive
298.0, 485.0, positive
373.0, 563.0, positive
509.0, 848.0, positive
259.0, 656.0, positive
403.0, 352.0, positive
315.0, 732.0, positive
301.0, 479.0, positive
514.0, 233.0, positive
441.0, 358.0, positive
594.0, 387.0, positive
515.0, 751.0, positive
390.0, 626.0, positive
418.0, 591.0, positive
411.0, 757.0, positive
476.0, 702.0, positive
517.0, 678.0, positive
459.0, 489.0, positive
461.0, 661.0, positive
443.0, 807.0, positive
268.0, 309.0, positive
463.0, 778.0, positive
287.0, 383.0, positive
541.0, 646.0, positive
252.0, 459.0, positive
234.0, 433.0, positive
501.0, 497.0, positive
393.0, 798.0, positive
241.0, 673.0, positive
274.0, 410.0, positive
156.0, 540.0, positive
291.0, 260.0, positive
299.0, 549.0, positive
458.0, 540.0, positive
200.0, 526.0, positive
343.0, 662.0, positive
283.0, 541.0, positive
220.0, 479.0, positive
253.0, 516.0, positive
430.0, 575.0, positive
386.0, 836.0, negative
609.0, 950.0, negative
41.0, 703.0, negative
38.0, 734.0, negative
95.0, 803.0, negative
319.0, 791.0, negative
142.0, 212.0, negative
636.0, 970.0, negative
754.0, 644.0, negative
67.0, 174.0, negative
632.0, 127.0, negative
739.0, 120.0, negative
429.0, 891.0, negative
639.0, 780.0, negative
73.0, 859.0, negative
415.0, 884.0, negative
536.0, 793.0, negative
395.0, 908.0, negative
534.0, 483.0, negative
106.0, 742.0, negative
742.0, 716.0, negative
464.0, 562.0, negative
51.0, 142.0, negative
428.0, 918.0, negative
145.0, 880.0, negative
-41.0, 761.0, negative
216.0, 263.0, negative
526.0, 414.0, negative
210.0, 965.0, negative
586.0, 535.0, negative
-28.0, 319.0, negative
-20.0, 901.0, negative
138.0, 700.0, negative
264.0, 930.0, negative
430.0, 940.0, negative
512.0, 203.0, negative
64.0, 364.0, negative
198.0, 223.0, negative
154.0, 96.0, negative
329.0, 806.0, negative
-46.0, 450.0, negative
667.0, 532.0, negative
67.0, 630.0, negative
-37.0, 588.0, negative
171.0, 689.0, negative
54.0, 765.0, negative
255.0, 657.0, negative
87.0, 837.0, negative
165.0, 960.0, negative
449.0, 215.0, negative
335.0, 739.0, negative
347.0, 796.0, negative
739.0, 773.0, negative
338.0, 206.0, negative
372.0, 543.0, negative
550.0, 227.0, negative
224.0, 139.0, negative
58.0, 349.0, negative
121.0, 298.0, negative
171.0, 147.0, negative
562.0, 171.0, negative
193.0, 317.0, negative
68.0, 653.0, negative
33.0, 587.0, negative
605.0, 87.0, negative
349.0, 984.0, negative
757.0, 971.0, negative
225.0, 703.0, negative
537.0, 858.0, negative
45.0, 549.0, negative
101.0, 481.0, negative
40.0, 162.0, negative
50.0, 638.0, negative
518.0, 244.0, negative
-40.0, 924.0, negative
289.0, 806.0, negative
555.0, 662.0, negative
509.0, 814.0, negative
61.0, 100.0, negative
